"OBJECTID"	"ID"	"ID_METODO_GEOPOSICIONAMENTO"	"ALTITUDE"	"TOPONIMIA"	"ID_GEOLOGO"	"DATA_CADASTRO"	"DIMENSAO"	"ID_TIPO_AFLORAMENTO"	"DESCRICAO"	"NUMERO_CAMPO"	"ID_SUREG"	"ID_CATEGORIA"	"ID_FOLHA"	"SHAPE"
46036209	396	3		"Cerca de 1,5 Km ao norte da Fazenda Barra da Fartura"	364	24/01/06		8		"EP75"	0	2	1147	SDE.ST_POINT(1, 1, -40.7996537, -18.2078169, -40.7996537, -18.2078169, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@39c53b7f')
46036225	397	3		"Cerca de 2 Km à noroeste da Fazenda Barra da Fartura"	364	24/01/06		8		"EP76"	0	2	1147	SDE.ST_POINT(1, 1, -40.7976721, -18.2035711, -40.7976721, -18.2035711, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@67b13be')
46036241	398	3		"Cerca de 4 Km à sudoeste da Fazenda Eldorado"	364	24/01/06		8		"EP77"	0	2	1147	SDE.ST_POINT(1, 1, -40.8019481, -18.1974324, -40.8019481, -18.1974324, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@6361c9fe')
46036257	399	3		"Cerca de 4 Km à oeste da Fazenda Eldorado"	364	24/01/06		8		"EP78"	0	2	1147	SDE.ST_POINT(1, 1, -40.7996132, -18.1882207, -40.7996132, -18.1882207, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@55b44b58')
46036273	400	3		"Cerca de 2,5 Km ao sul da Fazenda São Jeronimo"	364	24/01/06		8		"EP79"	0	2	1147	SDE.ST_POINT(1, 1, -40.7963843, -18.1793697, -40.7963843, -18.1793697, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@453a9c52')
46036289	401	3		"Cerca de 1 Km ao sul da Fazenda São Jeronimo"	364	24/01/06		8		"EP80"	0	2	1147	SDE.ST_POINT(1, 1, -40.7917163, -18.1665295, -40.7917163, -18.1665295, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@1b0281a8')
46036305	402	3		"Cerca de 1,5 Km ao sul da Fazenda São Jeronimo"	364	24/01/06		8		"EP81"	0	2	1147	SDE.ST_POINT(1, 1, -40.7907172, -18.1649487, -40.7907172, -18.1649487, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@7641950f')
46036321	403	3		"Cerca de 1,5 Km à sudeste da Fazenda Grota Alegre"	364	20/01/06		4		"EP64"	0	2	1147	SDE.ST_POINT(1, 1, -40.8906292, -18.3279667, -40.8906292, -18.3279667, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@158fe14')
46036337	404	3		"Cerca de 2 Km à sudeste da Fazenda Grota Alegre"	364	20/01/06		4		"EP65"	0	2	1147	SDE.ST_POINT(1, 1, -40.8840893, -18.322421, -40.8840893, -18.322421, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@10913a61')
46036353	405	3		"Cerca de 2,5 Km à leste da Fazenda Grota Alegre"	364	20/01/06		4		"EP66"	0	2	1147	SDE.ST_POINT(1, 1, -40.8815775, -18.316709, -40.8815775, -18.316709, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@1f91e61a')
46036369	406	3		"Cerca de 4 Km à leste da Fazenda Grota Alegre"	364	20/01/06		4		"EP67"	0	2	1147	SDE.ST_POINT(1, 1, -40.8624561, -18.3145295, -40.8624561, -18.3145295, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@6502f10a')
46036385	407	3		"Cerca de 4 Km à sudoeste da Pedra do Urubu"	364	20/01/06		4		"EP68"	0	2	1147	SDE.ST_POINT(1, 1, -40.8466765, -18.3125688, -40.8466765, -18.3125688, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@23ec1be0')
46036401	408	3		"Cerca de 3,5 Km à sudoeste da Pedra do Urubu"	364	20/01/06		4		"EP69"	0	2	1147	SDE.ST_POINT(1, 1, -40.8415707, -18.3145606, -40.8415707, -18.3145606, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@3ab77fce')
46036417	409	3		"Cerca de 3 Km à leste da Fazenda Arizona"	364	20/01/06		8		"EP70"	0	2	1147	SDE.ST_POINT(1, 1, -40.8277564, -18.2302102, -40.8277564, -18.2302102, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@2a06ffb4')
46036433	410	3		"Cerca de 3 Km à nordeste da Fazenda Arizona"	364	20/01/06		15		"EP71"	0	2	1147	SDE.ST_POINT(1, 1, -40.8201223, -18.2261721, -40.8201223, -18.2261721, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@587ec15f')
46036449	411	3		"Estrada Barra de São Francisco-Ecoporanga à 46.1Km de Barra de São Francisco"	364	20/01/06		8		"FS121"	0	2	1147	SDE.ST_POINT(1, 1, -40.8328022, -18.4845304, -40.8328022, -18.4845304, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@1b8ee2ab')
46036465	412	3		"Estrada Barra de São Francisco-Ecoporanga à 50,8Km de Barra de São Francisco"	364	20/01/06		8		"FS122"	0	2	1147	SDE.ST_POINT(1, 1, -40.8304169, -18.4515776, -40.8304169, -18.4515776, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@1ac6b71b')
