"COD_ANALISE"	"COD_AMOSTRA"	"COD_TIPO_ANALISE"
5	22	3
7	23	3
8	26	3
11	36	3
14	41	3
15	42	3
18	51	3
23	75	3
24	90	3
25	130	3
26	134	3
27	135	3
29	170	3
34	175	3
9330	13892	1
9331	13893	1
9332	13894	1
9333	13896	1
9334	13898	1
9335	13899	1
9336	13900	1
9337	13901	1
9338	13903	1
9339	13905	1
9340	13909	1
9341	13912	1
9342	13915	1
9343	13916	1
9344	13917	1
9345	13918	1
9346	13919	1
9347	13929	1
9348	13931	1
9349	13932	1
9350	13933	1
9351	13935	1
9352	13939	1
9353	13942	1
9354	13945	1
9355	13946	1
9356	13949	1
9357	13952	1
9358	13954	1
9359	13956	1
9360	13957	1
9361	13958	1
9362	13962	1
9363	13963	1
9364	13964	1
9365	13965	1
9366	13966	1
9367	13967	1
9368	13969	1
9369	13971	1
9370	13972	1
9371	13973	1
9372	13976	1
9373	13978	1
9374	13979	1
9375	13980	1
9376	13981	1
9377	13984	1
9378	13986	1
9379	13987	1
9380	13988	1
9381	14001	1
9382	14002	1
9383	14009	1
9384	14010	1
9385	14016	1
9386	14017	1
9387	14018	1
9388	14019	1
9389	14020	1
9390	14021	1
9391	14022	1
9392	14023	1
9393	14024	1
9394	14026	1
9395	14028	1
9396	14029	1
9397	14031	1
9398	14032	1
9399	14036	1
9400	14037	1
9401	14038	1
9402	14039	1
9403	14040	1
9404	14041	1
9405	14042	1
9406	14043	1
9407	14044	1
9408	14045	1
9409	14046	1
9410	14047	1
9411	14048	1
9412	14051	1
9413	14053	1
9414	14054	1
