"ID"	"NOME_PT"	"NOME_EN"
1	"Margem de drenagem"	"River bank"
2	"Material disperso na superfície"	"Scattered surface material"
3	"Caixa de empréstimo"	"Excavation"
4	"Corte de estrada"	"Road cut"
5	"Encosta de morro"	"Hill slope"
6	"Frente de escarpa"	"Cliff"
7	"Frente de lavra"	"Face"
8	"Lajedo ou Lajeiro"	"Slab"
9	"Leito de rio"	"River bed"
10	"Mina"	"Mine"
11	"Poço ou Cacimba"	"Well"
12	"Sondagem"	"Drill hole"
13	"Trincheira"	"Trench, trough"
14	"Voçoroca"	"Badlands"
15	"Pedreira"	"Quarry"
16	"Galeria"	"Drift"
17	"Rasteiro (Leito de estrada, terraplenagem, etc.)"	"Ground (Road bed, levelled terrain)"
18	"Drenagem seca"	"Dry river"
19	"Amostra de calha"	"Trough sample"
20	"Topo de colina"	"Hill top"
21	"Topo de morro"	"Mountain top"
22	"Topo de serra"	"Range top"
23	"Matacão"	"Boulder"
