"COD_TIPO_CONTATO"	"DESC_CONTATO"	"DESCRIPTION"
1	"Contato intrusivo"	"Intrusive contact"
2	"Contato tectônico"	"Tectonic contact"
3	"Disconformidade"	"Disconformity"
4	"Discordancia angular"	"Angular discordance"
5	"Não conformidade"	"Non-conformity"
6	"Contato gradacional"	"Gradational contact"
7	"Contato abrupto"	"Sharp contact"
8	"Contato irregular"	"Irregular contact"
9	"Contato transicional"	"Transitional contact"
10	"Contato com assinatura magnética"	"Contact with magnetic signature"
11	"Contato com assinatura radiométrica"	"Contact with radiometric signature"
12	"Contato com assinatura gravimétrica"	"Contact with gravimetric signature"
