"COD_IND_MARCA_ONDU"	"COD_ROCHA"	"COMPRIMENTO_ONDA"	"AMPLITUDE"	"INDICE_MARCA_ONDULADA"
7	215526	"5.00"	"1.00"	"5"
45	237181	"0.07"	"0.1"	"0.7"
25	229911	"0.11"	"0.01"	"11"
44	237032	"10"	"1"	"10"
46	237201	"0.05"	"0.01"	"5"
47	237207	"0.10"	"0.01"	"10"
48	237230	"0.07"	"0.01"	"7"
49	237282	"0.07"	"0.01"	"7"
50	237425	"0.06"	"0.01"	"6"
51	237429	"0.07"	"0.01"	"7"
52	237458	"0.12"	"0.01"	"12"
53	237461	"0.03"	"0.01"	"3"
54	237462	"0.07"	"0.01"	"7"
55	237513	"0.04"	"0.01"	"4"
56	237515	"0.17"	"1"	"0.17"
57	237524	"0.10"	"0.01"	"10"
58	237527	"0.10"	"0.01"	"10"
59	237529	"0.05"	"0.01"	"5"
60	237553	"0.10"	"0.01"	"10"
61	237586	"0.07"	"0.01"	"7"
62	237618	"0.15"	"0.01"	"15"
63	237625	"0.03"	"0.01"	"3"
64	237741	"0.08"	"0.01"	"8"
65	237796	"0.07"	"0.01"	"7"
66	237800	"0.07"	"0.01"	"7"
67	237804	"0.05"	"0.01"	"5"
124	367807	"30.00"	"3"	"10"
125	367811	"10"	"1"	"10"
126	367813	"30"	"2"	"15"
127	367834	"20"	"3"	"6.66666"
128	367886	"20"	"2"	"10"
129	367889	"25"	"3"	"8.33333"
130	368102	"8"	"2"	"4"
131	368176	"20"	"2"	"10"
132	538117	"6"	"3"	"2"
134	538162	"6"	"3"	"2"
