"COD_RELACAO"	"COD_AFLORAMENTO"	"COD_ROCHA1"	"COD_TIPO_CONTATO"	"COD_ROCHA2"
4	6	8	1	9
5	52	55	1	56
6	53	57	1	58
7	57	62	1	63
8	60	66	1	67
9	61	68	1	69
10	62	70	1	71
11	75	85	1	86
12	76	87	1	88
13	84	96	1	97
14	86	99	1	100
15	91	105	1	106
16	92	107	1	108
17	93	109	1	110
18	94	111	1	112
19	95	113	1	114
20	96	115	1	116
21	97	117	1	118
22	119	141	1	142
23	125	148	1	149
24	130	154	1	155
25	161	186	1	187
26	162	188	1	189
27	163	190	1	191
28	187	216	1	217
29	190	221	1	222
30	245	278	1	279
31	248	283	1	284
32	275	311	1	312
33	276	313	1	314
34	277	315	1	316
35	278	317	1	318
36	346	389	5	390
37	349	393	5	394
38	353	398	1	399
39	354	400	1	401
40	394	441	1	442
41	395	443	1	444
42	400	450	1	452
43	404	457	1	458
44	405	460	1	461
45	424	482	1	483
46	432	492	1	493
47	486	547	1	548
48	495	559	1	560
49	498	563	1	564
50	1036	1117	3	1118
51	1042	1124	3	1125
52	1044	1127	3	1128
53	1045	1129	3	1130
54	1084	1170	3	1171
55	1085	1172	3	1173
56	1086	1174	3	1175
57	1092	1181	3	1182
58	1095	1185	1	1186
59	1098	1189	1	1190
60	1105	1197	3	1198
61	1109	1202	1	1203
62	1113	1207	3	1208
63	1119	1214	3	1215
64	1139	1235	3	1236
65	1149	1246	3	1247
66	1150	1248	3	1249
67	1153	1252	1	1253
68	1155	1255	1	1256
69	1159	1260	3	1261
70	1173	1275	3	1276
71	1246	1351	3	1352
72	1400	1506	3	1507
73	1402	1509	3	1510
74	1403	1511	3	1512
75	1406	1515	3	1516
76	1407	1517	3	1518
77	1408	1519	3	1520
78	1409	1521	3	1522
79	1410	1523	3	1524
80	1595	1709	5	1710
81	1597	1712	1	1713
82	1598	1714	5	1715
83	1599	1716	1	1717
84	1600	1718	5	1719
85	1605	1724	5	1725
86	1611	1731	1	1732
87	1622	1743	5	1744
88	1633	1755	5	1756
89	1634	1757	5	1758
90	1635	1759	5	1760
91	1636	1761	5	1762
92	1637	1763	5	1764
93	1641	1768	5	1770
94	1641	1768	5	1769
95	1641	1770	5	1769
96	1642	1771	5	1772
97	1644	1774	5	1775
98	1703	1835	1	1837
99	1703	1835	5	1836
100	1718	1852	1	1853
101	1731	1866	5	1867
102	1761	1897	5	1898
