"COD_RX_X_ALTERACAO"	"COD_TIPO_ALTERACAO"	"COD_INTENSIDADE_ALTERACAO"	"COD_ROCHA"
52	14		215487
53	14		215640
54	14		215729
55	14		215736
56	14		215739
57	17		215750
58	14		215752
59	14		215776
60	17		215776
61	14		215793
62	14	3	215886
63	14	3	215957
64	14	3	215959
65	14	2	215988
66	14		216046
67	14	3	216047
68	14	3	216050
69	14	3	216053
70	14	3	216110
71	14		216149
72	17		216275
73	17	3	216290
74	14	3	216300
75	14	3	216305
76	3		216361
77	14	3	216366
78	17		216386
79	14	3	216449
218	15	2	224096
219	2	2	224096
220	15	2	224098
221	2	2	224098
222	4	3	224099
223	2	1	224100
224	2	2	224101
225	4	1	224102
226	6	1	224103
227	2	1	224105
228	2	2	224109
229	2	2	224110
230	8	1	224115
231	2	2	224121
232	7	2	224136
233	4	1	224136
234	8	1	224136
235	2	3	224138
236	2	3	224139
237	7	2	224139
238	4	1	224139
239	8	1	224139
240	3	2	224139
241	2	2	224142
242	4	1	224142
243	11	1	224142
244	4	1	224181
245	7	1	224181
246	4	1	224199
247	2	1	224199
248	2	2	224304
249	6		224307
250	2	1	224314
251	4	1	224314
252	4	2	224315
253	2	1	224315
318	4		235052
319	4		235275
331	15		238653
332	4		238654
333	2		238671
334	8		238674
329	2		238645
330	2		238652
335	15		238676
336	6		238877
337	17		238883
338	2		238884
339	2		238885
340	8		238979
341	15		239118
342	15		239119
343	6		239127
959	17		243744
960	17		243745
961	17		243747
963	17		243749
964	17		243751
965	17		243752
967	17		243758
968	17		243759
969	17		243760
970	17		243761
971	17		243762
973	17		243764
974	6		243765
975	17		243766
976	17		243767
977	17		243768
978	17		243770
980	17		243773
