"COD_RX_X_MINERAL"	"COD_ROCHA"	"COD_MINERAL"
1397	351	43
1398	351	15
1399	351	64
1400	351	85
1401	352	43
1402	352	15
1404	352	64
1405	352	85
1406	353	43
1407	353	15
1408	353	64
1409	353	85
1410	354	43
1411	354	15
1412	354	64
1413	354	85
1414	357	43
1415	357	15
1416	357	64
1417	357	85
1418	359	43
1419	359	15
1420	359	64
1421	359	85
1422	360	43
1423	360	15
1424	360	64
1425	360	85
1426	361	43
1427	361	15
1428	361	64
1429	361	85
1430	362	43
1431	362	15
1432	362	64
1433	362	85
1434	363	43
1435	363	15
1436	363	64
1437	363	85
1438	364	43
1439	364	15
1440	364	64
1441	364	85
1442	365	64
1443	365	85
1444	366	64
1445	366	85
1446	367	85
1447	367	64
1448	367	15
1449	367	43
1450	368	85
1451	368	64
1452	368	15
1453	368	43
1454	369	85
1455	369	64
1456	370	85
1457	370	64
1458	370	15
1459	370	43
1460	370	27
1461	371	85
1462	371	64
1463	371	15
1464	371	43
1465	372	85
1466	372	64
1467	372	15
1468	372	43
1469	373	85
1470	373	64
1471	373	15
1472	373	43
1473	374	85
1474	374	64
1475	374	15
1476	374	43
1477	375	85
1478	375	64
1479	375	15
1480	375	43
1481	376	85
1482	376	64
1483	376	15
1484	376	43
1485	377	85
1486	377	64
1487	377	15
1488	377	43
1489	378	85
1490	378	64
1491	378	15
1492	379	85
1493	379	64
1494	379	15
1495	379	43
1496	380	85
