"COD_RX_X_TEXT"	"COD_TEXTURA_IGNEA"	"COD_ROCHA"
924	18	3446
925	18	4656
926	18	4718
927	18	5627
4	18	4
5	8	6
6	18	8
7	18	9
8	18	10
9	18	13
10	18	15
11	18	16
12	18	17
13	18	17
14	18	18
15	18	19
16	18	20
17	18	21
18	18	22
19	18	23
20	18	24
21	18	25
22	18	26
23	18	27
24	18	28
25	18	29
26	18	30
27	18	31
28	18	32
29	18	33
30	18	34
31	18	35
32	2	36
33	18	37
34	18	38
35	2	39
36	18	40
37	18	41
38	18	43
39	18	44
40	18	45
41	18	46
42	18	47
43	2	49
44	18	50
45	18	51
46	18	52
47	2	53
48	18	54
49	25	55
50	30	56
51	25	57
52	30	58
53	30	59
54	30	60
55	18	61
56	18	63
57	18	66
58	18	67
59	18	68
60	18	70
61	18	71
62	18	72
63	18	74
64	18	75
65	18	76
66	18	77
67	18	78
68	18	79
69	18	80
70	30	81
71	2	82
72	30	83
73	30	84
74	30	85
75	18	86
76	30	87
77	18	88
78	30	89
79	18	90
80	18	92
81	18	93
82	18	94
83	18	95
84	18	96
85	18	97
86	18	98
87	18	99
88	18	100
89	18	101
90	30	102
91	30	103
92	30	104
93	18	105
94	18	106
95	18	107
96	18	108
97	18	109
98	18	110
