"USUARIO"	"DATA"	"MODULO"	"TABELA"	"OPERACAO"	"COD_AFLORAMENTO"	"COD_ROCHA"	"OBS"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105406		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105407		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105408		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105409		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105410		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105411		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105412		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105413		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105414		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105415		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105416		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105107		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105108		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105109		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105110		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105111		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105112		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105113		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105114		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105115		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105116		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105117		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105118		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105119		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105120		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105121		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105122		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105123		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105417		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105418		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105419		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105420		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105421		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105422		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105423		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105424		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105425		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105426		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105427		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105428		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105429		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105430		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105431		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105432		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105433		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105434		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105124		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105125		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105126		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105127		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105128		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105129		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105130		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105131		"O geólogo(79) foi atribuído ao afloramento"
