"OBJECTID","ID","ID_METODO_GEOPOSICIONAMENTO","ALTITUDE","TOPONIMIA","ID_GEOLOGO","DATA_CADASTRO","DIMENSAO","ID_TIPO_AFLORAMENTO","DESCRICAO","NUMERO_CAMPO","ID_SUREG","ID_CATEGORIA","ID_FOLHA","SHAPE"
46036209,396,3,,"Cerca de 1,5 Km ao norte da Fazenda Barra da Fartura",364,24/01/06,,8,,"EP75",0,2,1147,oracle.sql.STRUCT@70f18511
46036225,397,3,,"Cerca de 2 Km à noroeste da Fazenda Barra da Fartura",364,24/01/06,,8,,"EP76",0,2,1147,oracle.sql.STRUCT@31518a41
46036241,398,3,,"Cerca de 4 Km à sudoeste da Fazenda Eldorado",364,24/01/06,,8,,"EP77",0,2,1147,oracle.sql.STRUCT@69216dbb
46036257,399,3,,"Cerca de 4 Km à oeste da Fazenda Eldorado",364,24/01/06,,8,,"EP78",0,2,1147,oracle.sql.STRUCT@4aaff96b
46036273,400,3,,"Cerca de 2,5 Km ao sul da Fazenda São Jeronimo",364,24/01/06,,8,,"EP79",0,2,1147,oracle.sql.STRUCT@360a2422
46036289,401,3,,"Cerca de 1 Km ao sul da Fazenda São Jeronimo",364,24/01/06,,8,,"EP80",0,2,1147,oracle.sql.STRUCT@bb4a320
46036305,402,3,,"Cerca de 1,5 Km ao sul da Fazenda São Jeronimo",364,24/01/06,,8,,"EP81",0,2,1147,oracle.sql.STRUCT@691a4b58
46036321,403,3,,"Cerca de 1,5 Km à sudeste da Fazenda Grota Alegre",364,20/01/06,,4,,"EP64",0,2,1147,oracle.sql.STRUCT@5c4b83b1
46036337,404,3,,"Cerca de 2 Km à sudeste da Fazenda Grota Alegre",364,20/01/06,,4,,"EP65",0,2,1147,oracle.sql.STRUCT@3b07972e
46036353,405,3,,"Cerca de 2,5 Km à leste da Fazenda Grota Alegre",364,20/01/06,,4,,"EP66",0,2,1147,oracle.sql.STRUCT@15849ecd
46036369,406,3,,"Cerca de 4 Km à leste da Fazenda Grota Alegre",364,20/01/06,,4,,"EP67",0,2,1147,oracle.sql.STRUCT@2e7f57ae
46036385,407,3,,"Cerca de 4 Km à sudoeste da Pedra do Urubu",364,20/01/06,,4,,"EP68",0,2,1147,oracle.sql.STRUCT@2e291fdb
46036401,408,3,,"Cerca de 3,5 Km à sudoeste da Pedra do Urubu",364,20/01/06,,4,,"EP69",0,2,1147,oracle.sql.STRUCT@299053d7
46036417,409,3,,"Cerca de 3 Km à leste da Fazenda Arizona",364,20/01/06,,8,,"EP70",0,2,1147,oracle.sql.STRUCT@18d3c2de
46036433,410,3,,"Cerca de 3 Km à nordeste da Fazenda Arizona",364,20/01/06,,15,,"EP71",0,2,1147,oracle.sql.STRUCT@4c45344d
46036449,411,3,,"Estrada Barra de São Francisco-Ecoporanga à 46.1Km de Barra de São Francisco",364,20/01/06,,8,,"FS121",0,2,1147,oracle.sql.STRUCT@2a743dd9
46036465,412,3,,"Estrada Barra de São Francisco-Ecoporanga à 50,8Km de Barra de São Francisco",364,20/01/06,,8,,"FS122",0,2,1147,oracle.sql.STRUCT@151ddab
46036481,413,3,,"Estrada para Joaçuba a 2.6Km de Ecoporanga",364,20/01/06,,8,,"FS350",0,2,1147,oracle.sql.STRUCT@7922a6d
46036497,414,3,,"Estrada para Joaçuba a 8.8 Km de Ecoporanga",364,23/01/06,,8,,"FS351",0,2,1147,oracle.sql.STRUCT@6290918e
46036513,415,3,,"Estrada para Joaçuba a 12 Km de Ecoporanga",364,23/01/06,,8,,"FS352",0,2,1147,oracle.sql.STRUCT@6981e2f0
46036529,416,3,,"Estrada para Joaçuba a 16.9 Km de Ecoporanga",364,23/01/06,,8,,"FS353",0,2,1147,oracle.sql.STRUCT@66b2d6ee
46036545,417,3,,"Estrada para Joaçuba a 21 Km de Ecoporanga",364,23/01/06,,8,,"FS354",0,2,1147,oracle.sql.STRUCT@70e54917
46036561,418,3,,"Estrada Joaçuba Estrela a 15.7 Km de Estrela",364,23/01/06,,8,,"FS355",0,2,1147,oracle.sql.STRUCT@169fba64
46036577,419,3,,"Estrada Joaçuba Estrela a 11.3 Km de Estrela",364,23/01/06,,8,,"FS356",0,2,1147,oracle.sql.STRUCT@706f4c25
46036593,420,3,,"Estrada Joaçuba Estrela a 6.3 Km de Estrela",364,23/01/06,,8,,"FS357",0,2,1147,oracle.sql.STRUCT@1ae160
46036609,421,3,,"Cerca de 2Km ao sul da Vila de Imburana",364,16/02/06,,4,,"EC81",0,2,1147,oracle.sql.STRUCT@5aedbd85
46036625,422,3,,"Cerca de 0,5 Km à sudeste da Fazenda São Jeronimo",364,24/01/06,,8,,"EP82",0,2,1147,oracle.sql.STRUCT@314a6026
46036641,423,3,,"Cerca de 4 Km ao sul da Fazenda �?gua Boa",364,24/01/06,,8,,"EP83",0,2,1147,oracle.sql.STRUCT@3b4e1c4e
46036657,424,3,,"Cerca de 2 Km à oeste da Capela São João",364,24/01/06,,8,,"EP84",0,2,1147,oracle.sql.STRUCT@6c88fba6
46036673,425,3,,"Cerca de 2,5 Km à oeste da Capela São João",364,24/01/06,,8,,"EP85",0,2,1147,oracle.sql.STRUCT@5bbe6227
46036689,426,3,,"Cerca de 0,5 Km ao sul da Capela São João",364,24/01/06,,8,,"EP86",0,2,1147,oracle.sql.STRUCT@39177226
46036705,427,3,,"Cerca de 1 Km à sudoeste da Fazenda Coió",364,24/01/06,,8,,"EP87",0,2,1147,oracle.sql.STRUCT@7270a526
46036721,428,3,,"Cerca de 1,5 Km à sudoeste da Fazenda Volta Grande",364,24/01/06,,8,,"EP88",0,2,1147,oracle.sql.STRUCT@590e3505
46036737,429,3,,"Cerca de 1,5 Km à noroeste da Fazenda Volta Grande",364,24/01/06,,8,,"EP89",0,2,1147,oracle.sql.STRUCT@7109cb59
46036753,430,3,,"Cerca de 3 Km à noroeste da Fazenda Volta Grande",364,24/01/06,,4,,"EP90",0,2,1147,oracle.sql.STRUCT@738d111c
46036769,431,3,,"Cerca de 0,5 Km à leste da Fazenda Mineira",364,24/01/06,,8,,"EP91",0,2,1147,oracle.sql.STRUCT@423c3de
46036785,432,3,,"Cerca de 1 Km ao norte da Fazenda Mineira",364,24/01/06,,8,,"EP92",0,2,1147,oracle.sql.STRUCT@2cad7842
46036801,433,3,,"Cerca de 0,5 Km ao sul da Fazenda Ondina",364,24/01/06,,8,,"EP93",0,2,1147,oracle.sql.STRUCT@13412d8d
46036817,434,3,,"Cerca de 0,5 Km ao sul da Fazenda Vitrine",364,24/01/06,,8,,"EP94",0,2,1147,oracle.sql.STRUCT@8dfcb08
46036833,435,3,,"Cerca de 1 Km ao norte da Fazenda Quitandinha",364,24/01/06,,8,,"EP95",0,2,1147,oracle.sql.STRUCT@12f8c4fe
46036849,436,3,,"Cerca de 0,5 Km ao norte da Fazenda Quitandinha",364,24/01/06,,8,,"EP96",0,2,1147,oracle.sql.STRUCT@55d0c18b
46036865,437,3,,"Cerca de 2 Km ao sul da Fazenda Quitandinha",364,24/01/06,,4,,"EP97",0,2,1147,oracle.sql.STRUCT@4f67a3f9
46036881,4,3,,"Cerca de 2Km ao norte da Cidade de Ecoporanga",364,09/12/05,,15,,"PT01",0,2,1147,oracle.sql.STRUCT@3916b696
46036897,5,3,,"Cerca de 4Km ao norte da cidade de Ecoporanga",364,09/12/05,,5,,"PT02",0,2,1147,oracle.sql.STRUCT@6d1d5a7e
46036913,6,3,,"Cerca de 6Km ao norte da cidade de Ecoporanga",364,09/12/05,,15,,"PT03",0,2,1147,oracle.sql.STRUCT@3e1202cf
46036929,7,3,,"Cerca de 2Km a noroeste da fazenda Bela Vista",364,09/12/05,,1,,"PT04",0,2,1147,oracle.sql.STRUCT@4c98169f
46036945,8,3,,"Cerca de 0,5 Km ao norte da capela de Sao Sebastião",364,09/12/05,,1,,"PT05",0,2,1147,oracle.sql.STRUCT@40b6ab9c
46036961,9,3,,"Cerca de 0,5 Km ao norte da fazenda Santa Rita",364,09/12/05,,1,,"PT07",0,2,1147,oracle.sql.STRUCT@477fc75e
46036977,10,3,,"Cerca de 6.5Km à noroeste da Cidade de Ecoporanga",364,13/12/05,,8,,"EB02",0,2,1147,oracle.sql.STRUCT@69d5b104
46036993,11,3,,"Cerca de 6Km à norte da Cidade de Ecoporanga",364,13/12/05,,9,,"EB01",0,2,1147,oracle.sql.STRUCT@65f56e4f
46037009,12,3,,"Cerca de 4 Km à sudoeste da Fazenda Boa Vista",364,13/12/05,,15,,"EB03",0,2,1147,oracle.sql.STRUCT@6d0f7ae5
46037025,13,3,,"Cerca de 1.5Km à noroeste da Fazenda Arizona",364,13/12/05,,8,,"EB04",0,2,1147,oracle.sql.STRUCT@23c6f61d
46037041,14,3,,"Cerca de 3.5Km à noroeste da Fazenda Arizona",364,13/12/05,,8,,"EB05",0,2,1147,oracle.sql.STRUCT@65f372a0
46037057,15,3,,"Cerca de 1.5Km à nordeste da Fazenda Boa Nova",364,13/12/05,,8,,"EB06",0,2,1147,oracle.sql.STRUCT@79e3517f
46037073,16,3,,"Cerca de 1Km à nordeste da Fazenda Boa Nova",364,13/12/05,,8,,"EB07",0,2,1147,oracle.sql.STRUCT@6fadc4f4
46037089,17,3,,"Cerca de 1.5Km à sudoeste da Fazenda Boa Nova",364,13/12/05,,8,,"EB08",0,2,1147,oracle.sql.STRUCT@7b4fa102
46037105,18,3,,"Cerca de 1Km à noroeste da Fazenda Boa Esperança",364,13/12/05,,8,,"EB09",0,2,1147,oracle.sql.STRUCT@557aab9
46037121,19,3,,"Cerca de 1 Km a sudoeste da Fazenda Boa Esperança",364,13/12/05,,15,,"EB10",0,2,1147,oracle.sql.STRUCT@66dc7bc5
46037137,20,3,,"Cerca de 1Km à sudoeste da Cidade de Ecoporanga",364,14/12/05,,8,,"EB11",0,2,1147,oracle.sql.STRUCT@6757998e
