
"ID","ID_AFLORAMENTO","ID_ESTRUTURA","NOME_ESTRUTURA","ANGULO_NORTE","MERGULHO_CAIMENTO","ID_SENTIDO","DESLOCAMENTO_M","ID_ROCHA"
796,1123,184,"",100,70,4,"",1219
797,1124,117,"",80,15,2,"",1220
798,1130,117,"",110,40,4,"",1226
799,1130,117,"",100,25,4,"",1226
800,1130,184,"",90,70,3,"",1226
801,1130,184,"",105,68,4,"",1226
802,1131,184,"",105,65,4,"",1227
803,1132,117,"",105,15,4,"",1228
804,1132,117,"",108,12,4,"",1228
805,1133,117,"",280,30,8,"",1229
806,1133,117,"",285,35,8,"",1229
807,1133,184,"",115,65,4,"",1229
808,1133,184,"",100,60,4,"",1229
809,1134,117,"",95,30,4,"",1230
810,1134,117,"",100,25,4,"",1230
811,1134,184,"",115,75,4,"",1230
812,1137,117,"",105,20,4,"",1233
813,1137,117,"",85,22,2,"",1233
814,1138,117,"",100,32,4,"",1234
815,1138,117,"",105,25,4,"",1234
816,1138,184,"",102,68,4,"",1234
817,1138,184,"",115,65,4,"",1234
818,1138,15,"",150,80,4,"",1234
819,1142,184,"",110,60,4,"",1239
820,1143,117,"",330,12,8,"",1240
821,1146,117,"",110,35,4,"",1243
822,1146,117,"",125,30,4,"",1243
823,1146,15,"",10,70,2,"",1243
824,1150,117,"",65,15,2,"",1248
825,1150,117,"",60,30,2,"",1248
826,1153,117,"",75,35,2,"",1252
827,1153,117,"",80,30,,"",1252
828,1153,234,"",85,40,2,"",1253
829,1159,117,"",330,25,,"",1261
830,1159,117,"",320,20,8,"",1261
831,1159,184,"",95,60,4,"",1260
832,1159,184,"",100,70,4,"",1260
833,1160,117,"",330,25,8,"",1262
834,1163,117,"",40,5,2,"",1265
835,1163,184,"",100,65,4,"",1265
836,1163,184,"",112,54,4,"",1265
837,1164,117,"",60,10,2,"",1266
838,1165,184,"",105,62,4,"",1267
839,1166,117,"",95,5,4,"",1268
840,1168,117,"",105,25,4,"",1270
841,1169,117,"",90,20,3,"",1271
842,1169,117,"",70,12,2,"",1271
843,1169,15,"",302,80,8,"",1271
844,1169,15,"",310,75,8,"",1271
845,1174,117,"",285,35,8,"",1277
846,1174,117,"",295,20,8,"",1277
847,1174,184,"",120,67,4,"",1277
848,1174,184,"",110,58,4,"",1277
849,1175,117,"",310,35,8,"",1278
850,1175,234,"",120,60,4,"",1278
851,1177,117,"",80,20,2,"",1281
852,1177,117,"",105,15,4,"",1280
853,1178,117,"",95,5,4,"",1282
854,1178,184,"",100,80,4,"",1282
855,1179,117,"",100,15,4,"",1283
856,1180,15,"",145,90,4,"",1284
857,1180,15,"",110,90,4,"",1284
858,1181,117,"",300,25,8,"",1285
859,1184,117,"",110,5,4,"",1288
860,1184,15,"",270,90,7,"",1288
861,1184,15,"",190,90,6,"",1288
862,1187,184,"",120,40,4,"",1292
863,1187,184,"",105,45,4,"",1292
864,1187,184,"",110,38,4,"",1292
865,1188,117,"",125,25,4,"",1293
866,1188,15,"",10,90,2,"",1293
867,1188,15,"",100,90,4,"",1293
868,1189,117,"",290,35,,"",1294
869,1189,117,"",296,25,,"",1294
870,1189,15,"",35,75,2,"",1294
871,1189,15,"",200,30,6,"",1294
872,1191,15,"",152,48,4,"",1296
873,1191,15,"",82,80,2,"",1296
874,1191,15,"",170,90,4,"",1296
875,1192,15,"",214,70,6,"",1297
876,1192,15,"",218,72,6,"",1297
877,1193,117,"",130,5,4,"",1298
878,1195,15,"",35,90,2,"",1300
879,1195,15,"",158,90,4,"",1300
880,1195,15,"",150,90,4,"",1300
881,1203,117,"",280,20,8,"",1308
882,1203,117,"",270,18,7,"",1308
883,1204,117,"",277,35,8,"",1309
884,1205,117,"",295,40,8,"",1310
885,1205,184,"",105,80,4,"",1310
886,1206,117,"",110,39,4,"",1311
887,1206,117,"",105,50,4,"",1311
888,1207,184,"",105,60,4,"",1312
889,1207,184,"",100,65,4,"",1312
890,1207,184,"",98,60,4,"",1312
891,1208,117,"",125,15,4,"",1313
892,1208,117,"",40,25,2,"",1313
893,1209,117,"",96,18,4,"",1314
894,1210,184,"",105,50,4,"",1315
895,1211,117,"",280,12,6,"",1316
896,1211,184,"",274,15,8,"",1316
897,1218,117,"",100,18,4,"",1323
898,1218,184,"",100,52,4,"",1323
899,1226,117,"",115,20,4,"",1331
900,1226,117,"",80,15,2,"",1331
901,1229,117,"",80,16,2,"",1334
902,1229,117,"",75,12,2,"",1334
903,1250,117,"",100,8,4,"",1356
904,1250,117,"",110,5,4,"",1356
