
"ID","NOME_PT","NOME_EN"
1,"Camada","Bed"
2,"Facólito","Phacolith"
3,"Lacólito","Lacolith"
4,"Lente","Lens"
5,"Lopólito","Lopolith"
6,"Soleira (Sill)","Sill"
7,"Bismálito","Bismalith"
8,"Batólito","Batholith"
9,"Chaminé","Chimney"
10,"Derrame","Flow"
11,"Dique","Dike"
12,"Lobos Sigmoidais","Sigmoidal lobes"
13,"Neck","Neck"
14,"Pillow","Pillow"
15,"Stock","Stock"
16,"Diatrema","Diatreme"
17,"Pipe","Pipe"
18,"Diápiro","Diapir"
19,"Domo","Dome"
20,"Pluton","Pluton"
21,"Veio","Vein"
