
"COD_COMP_FRAG","COD_ROCHA_FRAG_MATR","COD_NATUREZA_FRAGMENTO","COD_TIPO_ROCHA","PERCENTUAL","TAMANHO_MAXIMO","TAMANHO_MINIMO","COD_ESFERICIDADE","COD_ARREDONDAMENTO","FORMA"
10,10,2,41,60,"","",,2,""
11,11,2,16,30,"","",,2,""
48,121,2,270,34,"10","10",,3," "
49,121,2,531,33,"10","10",,3," "
50,121,1,353,33,"10","10",,3," "
51,122,2,270,50,"10","10",,3," "
52,122,2,531,50,"10","10",,3," "
53,123,2,397,25," "," ",,3," "
54,123,2,239,25," "," ",,3," "
55,123,2,335,25," "," ",,3," "
56,123,2,223,25," "," ",,3," "
57,124,2,270,34,"50","50",,3," "
58,124,2,397,33,"50","50",,3," "
59,124,2,715,33,"50","50",,3," "
60,125,2,270,34," "," ",,," "
61,125,2,715,33," "," ",,," "
62,125,2,397,33," "," ",,," "
63,126,2,531,25,"25","25",,3," "
64,126,2,270,25," "," ",,," "
65,126,2,397,25," "," ",,," "
66,126,2,703,25," "," ",,," "
67,127,2,270,50,"12","12",,," "
68,127,2,397,50,"12","12",,," "
69,129,2,270,20,"20","20",,," "
70,129,2,397,20,"20","20",,," "
71,129,4,464,20,"20","20",,," "
72,129,2,215,20,"20","20",,," "
73,130,2,270,50,"25","25",,4," "
74,130,2,397,50,"25","25",,4," "
75,131,2,397,50,"40","40",,," "
76,131,2,270,50,"40","40",,," "
77,132,2,100,25," "," ",,3," "
78,132,2,397,25," "," ",,3," "
79,132,2,215,10," "," ",,3," "
80,133,2,215,20," "," ",,," "
81,133,2,239,30," "," ",,," "
82,133,2,397,15," "," ",,," "
83,134,2,531,30," "," ",,," "
84,134,2,100,30," "," ",,," "
85,135,2,33,40," "," ",,," "
86,135,2,215,10," "," ",,," "
87,136,2,100,25," "," ",,," "
88,136,2,215,25," "," ",,," "
89,136,2,239,25," "," ",,," "
90,136,2,397,20," "," ",,," "
91,143,2,100,25," "," ",,," "
92,143,2,531,25," "," ",,," "
93,143,2,351,25," "," ",,," "
108,181,4,14,3," "," ",,," "
109,181,1,630,15," "," ",,," "
110,182,4,14,5," "," ",,," "
111,182,1,630,15," "," ",,," "
112,183,4,14,0," "," ",,," "
113,183,1,122,0," "," ",,," "
114,184,4,14,0," "," ",,," "
115,184,4,18,0," "," ",,," "
150,263,2,18,0," "," ",,," "
151,264,1,235,30," "," ",,," "
152,265,1,235,30," "," ",,," "
153,266,1,235,0," "," ",,," "
168,281,4,41,40," "," ",1,1," "
188,301,4,270,70," "," ",,," "
189,303,4,270,60," "," ",,," "
190,304,4,270,20,"64","64",2,3," "
191,305,4,270,60,"64","64",2,3," "
192,307,4,270,30,"2","2",,," "
193,308,4,270,45,"64","64",,," "
194,309,4,270,45,"2","2",,," "
195,310,4,270,15,"64","64",2,3," "
196,311,4,270,35,"4","4",2,3," "
197,312,4,270,45,"64","64",2,3," "
198,313,4,270,70,"2","2",,," "
199,320,4,239,40," "," ",,," "
200,322,2,239,35," "," ",,," "
201,323,4,239,35," "," ",,," "
202,324,2,239,35," "," ",,," "
203,325,4,239,40," "," ",,," "
204,326,4,239,40," "," ",,," "
205,327,4,239,30," "," ",,," "
206,328,4,239,20," "," ",,," "
207,329,4,239,25," "," ",,," "
208,330,4,239,43," "," ",,," "
209,331,4,239,20," "," ",,," "
210,332,4,239,20," "," ",,," "
211,333,4,270,45,"5","5",,," "
212,334,4,270,15,"64","64",,," "
213,335,4,270,45,"64","64",,," "
214,336,4,270,15,"63","63",2,3," "
215,337,4,270,20," "," ",,," "
216,338,4,270,50,"4","4",,," "
217,339,4,270,50,"63","63",2,3," "
218,340,4,239,20," "," ",,," "
219,341,2,239,20," "," ",,," "
220,344,4,270,70,"4","4",2,3," "
221,345,4,270,45,"64","64",2,3," "
222,345,4,38,10,"100","100",2,2," "
223,346,4,270,20,"64","64",2,3," "
224,349,4,270,85,"64","64",2,3," "
225,350,4,270,80,"64","64",2,3," "
226,351,4,270,10," "," ",,," "
228,361,2,397,15," "," ",2,2," "
229,362,4,397,15," "," ",2,2," "
230,363,4,397,5," "," ",2,2," "
231,364,4,397,10," "," ",2,2," "
232,365,4,397,15," "," ",,," "
233,366,2,397,5," "," ",2,2," "
240,373,4,214,20," "," ",1,8," "
241,374,4,270,15," "," ",1,2," "
242,375,4,270,20," "," ",1,2," "


