
"ID_ESTACAO","ID_AFLORAMENTO"
1,25
2,538
3,335
4,622
5,629
6,668
7,582
8,47
9,743
10,758
11,762
12,63
13,284
14,807
15,1015
16,979
17,986
18,1049
19,1051
20,1176
21,967
22,1163
23,867
24,1205
25,1232
26,664
27,313
28,317
29,1273
30,1111
31,1307
32,1312
33,1317
34,1321
35,2008
36,1481
37,1697
38,1723
39,1780
40,1791
41,1798
42,1632
43,1381
44,1394
45,1587
46,1409
47,1411
48,1435
49,1739
50,1670
51,1677
52,1693
53,2058
54,2068
55,2078
56,2091
57,1487
58,1522
59,1801
60,1811
61,1813
62,2326
63,2350
64,2351
65,2405
66,2477
67,2486
68,2281
69,2671
70,2678
71,2681
72,2684
73,2185
74,2221
75,2907
76,2915
77,2867
78,2169
79,3171
80,3188
81,3206
82,2531
83,2738
84,3046
85,2800
86,2993
87,2636
88,3168
89,3028
90,2609
91,2893
92,2896
93,3083
94,3099
95,3100
96,3103
97,3233
97,3424
98,3301
99,3306
100,3329
101,3278
102,3279
103,3292
104,3456
105,2597
106,3137
106,3130
107,3480


