
"COD_ILUSTRACAO","COD_AFLORAMENTO","COD_TIPO_ILUSTRACAO","LEGENDA_ILUSTRACAO","NAME","NOME_ANTIGO"
474,1668,1,"Plano de foliação perpendicular ao eixo y.","A1668_I474.jpg","035.JPG"
475,1668,1,"Plano de foliação perpendicular ao eixo x.","A1668_I475.jpg","036.JPG"
478,1668,1,"Sillimatina Fibrosa , N//","A1668_I478.jpg","MG10_Sillimanita fibrosa em plag, Nparalelo.JPG"
479,1668,1,"Sillimanita fibrosa, NX","A1668_I479.jpg","MG10_Sillimanita fibrosa em plag, NX.JPG"
480,1669,1,"Saprolito de granada-biotita granito-gnaisse.","A1669_I480.jpg","037.JPG"
481,1670,1,"Vista geral do lajedo de granada-biotita granito-gnaisse. ","A1670_I481.jpg","038.JPG"
482,1670,1,"Vista geral do lajedo de granada-biotita granito-gnaisse. ","A1670_I482.jpg","039.JPG"
483,1670,1,"Vista geral do lajedo de granada-biotita granito-gnaisse. ","A1670_I483.jpg","040.JPG"
484,1670,1,"Panorâmica do ponto MG-12","A1670_I484.jpg","041.jpg"
485,1674,1,"feldspato, plagioclásio, fluorita, biotita, NX(2,5x)","A1674_I485.jpg","MP21_ k-felds, plagio, fluorita, biot, NX(2,5x).JPG"
487,1674,1,"feldspato, plagioclásio, fluorita, biotita, NX(5x)","A1674_I487.jpg","MP21_ k-felds, plagio, fluorita, biot, NX1(5x).JPG"
489,1675,1,"opx, plagioclásio, biotita, NX","A1675_I489.jpg","MP22_opx, plagio, biot, NX.JPG"
492,1677,1,"sillimanita fibrosa, NX","A1677_I492.jpg","MG26_Sillfibrosacom biot, k-felds e plag, NX.JPG"
495,1677,1,"Plano de foliação. Corte perpendicular ao eixo x.						","A1677_I495.jpg","056.JPG"
497,1677,1,"Granada associada à massa de biotita.						","A1677_I497.jpg","058.JPG"
500,1677,1,"Porção decimétrica rica em minerais máficos.						","A1677_I500.jpg","061.JPG"
502,1677,1,"Bloco rolado apresentando falha sin-formacional ao veio pegmatóide.","A1677_I502.jpg","063.JPG"
504,1679,1,"Panorâmica dos arredores.						","A1679_I504.jpg","065.JPG"
508,1680,1,"Feição ígnea - feldspato euédrico - no granada-biotita granito-gnaisse.						","A1680_I508.jpg","069.JPG"
510,1682,1,"Bloco de biotita granito fanerítico fino com veios leucocráticos.						","A1682_I510.jpg","071.JPG"
512,1683,1,"Sigmóide de granada em milonito gnaisse. Suíte G2.						","A1683_I512.jpg","073.JPG"
514,1683,1,"Vista do afloramento, com aparente zona de cisalhamento.						","A1683_I514.jpg","075.JPG"
517,1688,1,"Feldspato ocelar e cristal de granada com cauda de recristalização..						","A1688_I517.jpg","079.JPG"
519,1688,1,"Detalhe da zona de cisalhamento com concentração de biotita.						","A1688_I519.jpg","081.JPG"
522,1688,1,"Zona de cisalhamento com concentração de biotita.						","A1688_I522.jpg","084.JPG"
525,1691,1,"Veio de Plagioclásio grosso, NX","A1691_I525.jpg","MG49_veio de plag grosso com rocha fina, NX.JPG"
528,1693,1,"textura da rocha, NX","A1693_I528.jpg","MG51B_textura de biot e plagi, NX.JPG"
533,1700,1,"Visão Geral do Afloramento","A1700_I533.jpg","100_0093.JPG"
537,1707,1,"Detalhe do Afloramento","A1707_I537.jpg","101_0106.JPG"
542,1708,1,"zircão zonado, N//","A1708_I542.jpg","MG72_Zircão zonado, Nparalelo.JPG"
545,1708,1,"Visão dos Pães de Açúcar","A1708_I545.jpg","101_0109.JPG"
550,1710,1,"Detalhe do Afloramento","A1710_I550.jpg","101_0114.JPG"
554,1712,1,"Arredores do Afloramento","A1712_I554.jpg","101_0122.JPG"
558,1713,1,"Detalhe do Afloramento","A1713_I558.jpg","101_0129.JPG"
563,1714,1,"Visão Geral do Afloramento","A1714_I563.jpg","101_0135.JPG"
566,1721,1,"Detalhe do Afloramento","A1721_I566.jpg","101_0139.JPG"
570,1722,1,"Detalhe rico em máficos","A1722_I570.jpg","101_0143.JPG"
574,1728,1,"Sistema de dobramento","A1728_I574.jpg","101_0153.JPG"
744,2365,1,"","A2365_I744.jpg","3009010.JPG"
745,2365,1,"","A2365_I745.jpg","3009010-1.JPG"
746,2365,1,"","A2365_I746.jpg","3009010-2.JPG"
743,2364,1,"","A2364_I743.jpg","3009008-2.JPG"
576,1731,1,"plagioclásio deformado, N//","A1731_I576.jpg","MG100A_plagio deformado com granada, Nparalelo.JPG"
577,1731,1,"plagioclásio deformado, NX","A1731_I577.jpg","MG100A_plagio deformado com granada, NX.JPG"
578,1735,1,"Afloramento de gnaisse","A1735_I578.jpg","Foto106.JPG"
579,1735,1,"Feldspato com movimento reverso ","A1735_I579.jpg","Foto107.JPG"
580,1735,1,"Granadas com diâmetro maior que 4,0 cm ","A1735_I580.jpg","Foto108.JPG"
581,1736,1,"Pão-de-Açúcar com foliação ","A1736_I581.jpg","Foto109.JPG"
582,1737,1,"Panorâmica da áreab (Serra do Rochedo)","A1737_I582.jpg","Foto110.JPG"
583,1737,1,"Panorâmica da áreab (Serra do Rochedo) ","A1737_I583.jpg","Foto112.JPG"
584,1737,1,"Feldspatos orientados (Lx)","A1737_I584.jpg","Foto113.JPG"
587,1738,1,"Vista panorâmica dos pães-de-açúcar foliados ","A1738_I587.jpg","Foto116.JPG"
589,1738,1,"Vista panorâmica dos pães-de-açúcar foliados ","A1738_I589.jpg","Foto118.JPG"
592,1738,1,"Vista panorâmica dos pães-de-açúcar foliados ","A1738_I592.jpg","Foto121.JPG"
594,1740,1,"gnaisse com parte ígnea preservada ","A1740_I594.jpg","Foto123.JPG"
597,1740,1,"Feldspato zonado com granada ","A1740_I597.jpg","Foto127.JPG"
600,1742,1,"Feldspatos ocelares","A1742_I600.jpg","Foto134.JPG"
604,1743,1,"Amostra de ultramilonito","A1743_I604.jpg","Foto138.JPG"
607,1745,1,"opx, aumento 5x, nicóis paralelos","A1745_I607.jpg","Q11.JPG"
610,1751,1,"Geral do afloramento com granada estirada ","A1751_I610.jpg","Foto139.JPG"
613,1751,1,"gnaisse com estiramento mineral","A1751_I613.jpg","Foto142.JPG"
616,1754,1,"Cristal de feldspato envolto por granada","A1754_I616.jpg","Foto145.JPG"
620,1761,1,"Charnockito e rocha leucocrática ","A1761_I620.jpg","Foto149.JPG"
624,1761,1,"Rocha leucocrática","A1761_I624.jpg","Foto153.JPG"
627,1761,1,"Visão geral da Pedreira de charnockito  ","A1761_I627.jpg","Foto156.JPG"
629,1766,1,"banda fina, NX","A1766_I629.jpg","MG102A_banda fina com qtz e opx, NX.JPG"
633,1766,1,"plagioclasio de alta T, NX","A1766_I633.jpg","MG102B3_plag com macla de altaT, musc, biot, NX.JPG"
638,1791,1,"Granada orientada/estirada em relação à Sn","A1791_I638.jpg","Foto167.JPG"
641,1802,1,"Maciço de gnaisse","A1802_I641.jpg","Foto190.JPG"
645,1819,1,"Pão-de-Açúcar com feições de dissolução","A1819_I645.jpg","Foto195.JPG"
649,1841,1,"Detalhe dos minerais na rocha","A1841_I649.jpg","101_0159.JPG"
652,1859,1,"mimerquita, aumento 5x, nicóis X","A1859_I652.jpg","Q9.JPG"
654,1864,1,"Lajedo do afloramento ","A1864_I654.jpg","Foto162.JPG"
658,1893,1,"Detalhe das granadas ","A1893_I658.jpg","Foto207.JPG"
662,1898,1,"Granada-biotita gnaisse ","A1898_I662.jpg","Foto227.JPG"
666,1900,1,"Detalhe do arenito","A1900_I666.jpg","Foto231.JPG"
669,1917,1,"Platô sem afloramento, cercado por pães-de-açúcar G4 ","A1917_I669.jpg","Foto210.JPG"
672,1917,1,"Lamelas de exsolução em opx, 5x, nicóis paralelos","A1917_I672.jpg","Q28.JPG"
675,1932,1,"Detalhe dos grãos subangulosos de quartzo ","A1932_I675.jpg","Foto214.JPG"
679,1935,1,"Perfil do afloramento ","A1935_I679.jpg","Foto218.JPG"
683,1935,1,"Detalhe da porção superior, intemperizada ","A1935_I683.jpg","Foto222.JPG"
691,2171,1,"","A2171_I691.jpg","0610033-3.JPG"
686,2152,1,"","A2152_I686.jpg","0610001-2.JPG"
687,2157,1,"","A2157_I687.jpg","0610006.JPG"
688,2164,1,"","A2164_I688.jpg","0610019.JPG"
690,2171,1,"","A2171_I690.jpg","0610033-2.JPG"
4,4,1,"","A4_I4.jpg","PT1 cd + sp G3.jpg"
5,4,1,"","A4_I5.jpg","PT1 cd+gd G3.jpg"
6,4,1,"","A4_I6.jpg","PT1 detalhe cd.jpg"
7,4,1,"","A4_I7.jpg","PT1 detalhe cd2.jpg"
8,4,1,"","A4_I8.jpg","PT1_ccd.jpg"
9,4,1,"","A4_I9.jpg","PT1_detalhe milonito ccd.jpg"
10,4,1,"","A4_I10.jpg","PT1_G3 no ccd.jpg"
11,4,1,"","A4_I11.jpg","PT1_geomorfo ccd Ecoporanga.jpg"
12,4,1,"","A4_I12.jpg","PT1_geomorfo ccd.jpg"
13,4,1,"","A4_I13.jpg","PT1_milonito ccd.jpg"
14,4,1,"","A4_I14.jpg","PT1_restito paragnaisse no ccd.jpg"
15,9,1,"","A9_I15.jpg","PT7_cd granulito.jpg"
16,12,1,"","A12_I16.jpg","EB03.JPG"
17,12,1,"","A12_I17.jpg","EB03-detalhe.JPG"
18,17,1,"","A17_I18.jpg","EB08.JPG"
19,22,1,"","A22_I19.jpg","EB13.JPG"
20,22,1,"","A22_I20.jpg","EB13-+detalhe.JPG"
21,22,1,"","A22_I21.jpg","EB13-detalhe.JPG"
22,22,1,"","A22_I22.jpg","EB13-geral.JPG"
23,34,1,"","A34_I23.jpg","EB25.JPG"
24,35,1,"","A35_I24.jpg","EB26.JPG"
25,36,1,"","A36_I25.jpg","EB27.JPG"
26,36,1,"","A36_I26.jpg","EB27-cominuicao.JPG"



