
"ID","ID_AFLORAMENTO","ID_TIPO_ROCHA","COTA","PERCENTAGEM_AFLORAMENTO","ID_GRAU_INTEMPERISMO","ID_COR_ROCHA_SA","ID_COR_ROCHA_INTEMPERIZADA","ID_GEOMETRIA","ID_INDICE_COR","DIMENSAO","ID_GRANULACAO"
584,518,639,"900",100,,,,,,,
585,519,421,"901",100,,,,,,,
586,520,421,"900",100,,,,,,,
587,521,421,"901",100,,,,,,,
588,522,421,"950",100,,,,,,,
589,523,646,"860",100,,,,,,,
590,524,421,"870",100,,,,,,,
591,525,673,"865",100,,,,,,,
592,526,421,"901",100,,,,,,,
593,527,646,"900",1,,,,,,,
594,527,639,"900",1,,,,,,,
595,528,421,"950",100,,,,,,,
596,529,646,"900",100,,,,,,,
597,530,646,"950",100,,,,,,,
598,531,673,"950",100,,,,,,,
599,532,673,"685",100,,,,,,,
600,533,223,"755",100,,,,,,,
601,534,397,"950",100,,,,,,,
602,535,230,"682",100,,,,,,,
603,536,230,"632",100,,,,,,,
604,537,230,"717",100,,,,,,,
605,538,646,"589",100,,,,,,,
606,539,646,"557",100,,,,,,,
607,540,646,"473",100,,,,,,,
608,541,646,"900",100,,,,,,,
609,542,646,"578",100,,,,,,,
610,543,639,"602",100,,,,,,,
611,544,639,"600",100,,,,,,,
612,545,397,"716",100,,,,,,,
613,546,673,"741",100,,,,,,,
614,547,646,"803",100,,,,,,,
615,548,646,"651",100,,,,,,,
616,549,421,"620",100,,,,,,,
617,550,397,"616",100,,,,,,,
618,551,646,"744",100,,,,,,,
619,552,230,"780",100,,,,,,,
620,553,397,"819",100,,,,,,,
621,554,646,"700",100,,,,,,,
622,555,646,"848",100,,,,,,,
623,556,397,"782",100,,,,,,,
624,557,286,"779",100,,,,,,,
625,558,646,"646",100,,,,,,,
626,559,646,"576",100,,,,,,,
627,560,646,"564",100,,,,,,,
628,561,646,"581",100,,,,,,,
629,562,646,"466",100,,,,,,,
630,563,646,"307",100,,,,,,,
631,564,639,"900",100,,,,,,,
632,565,646,"950",100,,,,,,,
633,566,646,"950",100,,,,,,,
634,567,646,"750",100,,,,,,,
635,568,639,"800",100,,,,,,,
636,569,728,"800",100,,,,,,,
637,570,728,"800",100,,,,,,,
638,571,728,"750",100,,,,,,,
639,572,646,"800",100,,,,,,,
640,573,639,"800",100,,,,,,,
641,574,728,"750",100,,,,,,,
642,575,728,"800",100,,,,,,,
643,576,639,"800",100,,,,,,,
644,577,639,"800",100,,,,,,,
645,578,639,"800",100,,,,,,,
646,579,639,"800",100,,,,,,,
647,580,639,"850",100,,,,,,,
648,581,639,"800",100,,,,,,,
649,582,646,"361",100,,,,,,,
650,583,639,"865",100,,,,,,,
651,584,639,"1127",100,,,,,,,
652,585,421,"1048",100,,,,,,,
653,586,421,"1061",100,,,,,,,
654,587,421,"1171",100,,,,,,,
655,588,421,"1147",100,,,,,,,
656,589,639,"1003",100,,,,,,,
657,590,639,"1119",100,,,,,,,
658,591,639,"1150",100,,,,,,,
659,592,639,"1256",100,,,,,,,
660,593,646,"1090",100,,,,,,,
661,594,646,"1110",100,,,,,,,
662,595,646,"1342",100,,,,,,,
663,596,421,"1221",100,,,,,,,
664,597,639,"1068",100,,,,,,,
665,598,397,"845",100,,,,,,,
666,599,646,"791",100,,,,,,,
667,600,673,"779",100,,,,,,,
668,601,646,"1100",100,,,,,,,
669,602,639,"807",100,,,,,,,
670,603,646,"821",100,,,,,,,
671,604,646,"803",100,,,,,,,
672,605,639,"960",100,,,,,,,
673,606,646,"1059",100,,,,,,,
674,607,646,"803",100,,,,,,,
675,608,397,"770",100,,,,,,,
676,609,646,"729",100,,,,,,,
677,610,397,"733",100,,,,,,,
678,611,646,"760",100,,,,,,,
679,612,397,"779",100,,,,,,,
680,613,728,"768",1,,,,,,,
681,613,230,"768",1,,,,,,,
682,614,646,"568",100,,,,,,,
683,615,639,"613",100,,,,,,,
684,616,646,"583",100,,,,,,,
685,617,639,"1000",100,,,,,,,
686,618,646,"441",100,,,,,,,
687,619,646,"445",100,,,,,,,
688,620,646,"462",100,,,,,,,
689,621,646,"332",100,,,,,,,
690,622,421,"312",100,,,,,,,
691,623,421,"1200",100,,,,,,,
692,624,215,"296",100,,,,,,,


