
"COD_ROCHA_FRAG_MATR","COD_ROCHA","COD_NATUREZA_MATRIZ","COD_GRANULACAO_MATRIZ","COD_RELACAO_FRAGMENTO_MATRIZ","PERCENTAGEM_MATRIZ_ROCHA"
10,215469,1,3,1,40
11,215523,1,3,2,70
12,216375,1,4,1,
13,216543,1,24,1,
14,216553,1,22,1,
122,265615,1,24,2,
63,221466,1,12,2,
81,224124,1,5,1,
104,260277,1,15,1,
121,265614,1,22,2,
123,265669,1,24,2,
124,265702,1,24,1,
125,265707,1,24,2,
126,265711,1,22,2,
127,265797,1,24,1,
128,265844,1,24,1,
129,265855,1,15,2,
130,265872,1,,1,
131,265879,1,,2,
132,265904,1,13,2,
133,265913,1,22,2,
134,265926,1,22,2,
135,265929,1,3,2,
136,265960,1,4,2,
137,265968,1,4,2,
138,266009,1,4,1,
139,266014,1,,2,
140,266033,1,24,2,
141,266034,1,24,2,
142,266053,1,,2,
143,266058,1,2,2,
144,266060,1,22,2,
145,266061,1,22,2,
146,266083,1,,2,
161,268428,1,4,1,
181,268724,4,5,1,80
182,268727,4,5,1,55
183,268729,4,,1,60
184,268731,4,,1,
201,270585,1,4,1,
202,270614,1,4,1,
203,270615,1,24,1,
204,270642,1,4,1,
205,270735,1,4,1,
206,270886,1,4,1,
207,270887,1,4,1,
208,270888,1,4,1,
209,270889,1,4,1,
210,270890,1,24,1,
211,270907,1,4,1,
282,274907,2,5,1,
263,273107,1,2,1,
264,273189,1,,1,
265,273234,1,,1,
266,273245,1,2,2,
281,274778,1,40,1,60
301,280614,1,40,2,
302,280615,2,32,2,
303,280616,2,32,2,
304,280617,1,40,1,
305,280618,1,25,2,
306,280619,2,32,2,
307,280625,1,25,1,
308,280626,1,39,1,
309,280634,2,32,1,
310,280636,2,32,1,
311,280637,1,39,1,
312,280638,1,39,1,
313,280647,2,32,2,
314,280824,2,40,1,
315,280825,2,39,1,
316,280826,2,39,1,
317,280827,2,39,1,
318,280828,2,40,1,
319,280829,2,40,1,
320,280830,2,25,1,
321,280832,2,25,1,
322,280841,2,25,1,
323,280842,1,25,1,
324,280843,1,25,1,
325,280844,2,25,1,
326,280845,2,32,1,
327,280846,2,32,1,
328,280847,2,32,1,
329,280848,2,32,1,
330,280849,2,32,1,
331,280851,2,32,1,
332,280865,2,39,1,
333,280866,1,40,1,
334,280868,2,32,1,
335,280870,1,41,1,
336,280874,1,40,1,
337,280877,2,32,1,
338,280880,1,40,1,
339,280881,1,39,1,
340,280899,2,32,1,
341,280901,2,39,1,
342,280909,2,32,1,
343,280918,2,32,1,
344,280954,2,32,2,
345,280955,1,40,1,
346,280960,2,32,1,
347,280961,2,32,1,
348,280962,2,32,1,
349,280963,2,32,2,
350,280966,2,32,2,
351,280968,1,40,1,
361,283307,3,41,1,
362,283322,3,41,1,


