
"COD_RX_SEDI","COD_ROCHA","COD_SELECIONAMENTO","COD_ARREDONDAMENTO","COD_ESFERICIDADE","COD_MATURIDADE_TEXTURAL","COD_MATURIDADE_COMPOSICIONAL"
4,6,1,4,,,
5,14,2,4,,,
6,134,2,2,2,,
7,267,2,3,,,
8,268,2,3,,,
9,269,2,3,,,
10,277,2,3,,,
11,280,2,3,,,
12,281,2,2,,,
13,365,2,4,,,
14,369,2,4,,,
15,381,2,4,,,
16,382,2,4,,,
17,383,2,4,,,
18,386,2,4,,,
19,387,2,4,,,
20,388,2,4,,,
21,389,2,4,,,
22,391,2,4,,,
23,392,2,4,,,
24,394,2,4,,,
25,395,2,4,,,
26,414,2,4,,,
27,418,2,4,,,
28,422,2,4,,,
29,423,2,4,,,
30,424,2,4,,,
31,2050,3,2,2,1,2
32,2081,3,2,2,1,2
33,2082,3,2,2,1,2
53,215734,3,4,,,
54,215736,3,2,,,
55,215810,1,4,,,
56,215957,4,4,,,
57,215959,4,4,,,
58,216051,2,3,,,
59,216058,3,3,,,
60,216137,4,2,,,
61,216256,3,4,,,
62,216392,3,3,1,,
63,216553,3,4,1,,1
255,260082,3,2,,,
256,260697,2,3,,,
257,260706,1,4,,,
126,221141,1,3,,,
127,221142,1,3,,,
128,221161,1,3,2,,
129,221164,1,1,3,,
130,221167,1,4,,,
131,221177,1,4,,,
132,221181,1,3,,,
133,221186,1,3,,,
134,221272,1,3,,,
135,221273,2,2,,,
136,221369,2,4,,,
137,221377,2,3,,,
138,221414,2,3,,,
139,221415,2,3,,,
140,221418,1,3,,,
141,221420,1,2,,,
142,221463,1,3,,,
143,221466,2,4,,,
144,221470,2,2,,,
145,221500,1,3,1,,
146,221503,1,3,2,,
147,221544,2,2,,1,1
148,221551,2,3,,,
149,221554,2,3,,,
188,224154,3,2,,1,1
151,215721,2,4,,,
168,222943,1,4,3,2,2
268,262979,3,2,1,1,1
269,262981,3,3,1,2,2
270,265894,1,2,,,
271,265958,1,3,,,
288,267887,2,2,2,,
289,267979,3,2,2,,
290,268034,3,2,1,,
291,268035,1,4,2,,
292,268041,2,2,1,,
293,268042,3,2,3,,
294,268044,2,4,,1,
295,268047,4,3,,,
296,268051,2,3,,,
297,268062,3,4,,,
298,268073,4,2,,,
299,268127,2,3,,,
300,268129,3,3,3,,
301,268134,1,3,,,
302,268135,2,5,1,,
303,268141,2,3,,,
304,268146,2,3,,,
305,268147,4,3,,,
306,268148,3,2,,,
307,268153,3,4,,,
308,268190,2,1,,,
309,268214,3,4,,,
310,268215,2,2,,,
311,268219,3,5,,,
312,268231,1,4,,,
313,268232,3,3,,,
314,268233,1,3,,,
315,268245,1,3,,,
316,268247,3,4,,,
317,268249,4,2,,,
318,268250,2,3,,,
319,268251,4,3,2,1,
320,268252,4,3,2,1,
321,268257,3,2,2,1,



