
"COD_RX_X_ESTRUTURAS","COD_ESTRUTURAS_RX","ANG_NORTE","MERGULHO_CAIMENTO","COD_SENTIDO","COD_ROCHA"
2543,55,,,,215709
2544,47,,,,215710
2545,55,,,,215711
2546,15,175,,6,215712
2547,15,136,,6,215712
2548,55,,,,215713
2549,55,,,,215714
2550,55,,,,215715
2551,55,,,,215716
2552,55,,,,215718
2553,55,,,,215719
2554,55,,,,215720
2555,55,,,,215721
2556,40,,,,215721
2557,47,,,,215722
2558,59,,,,215722
2559,2,,,,215723
2560,55,,,,215724
2561,55,,,,215726
2562,55,,,,215727
2563,17,93,,1,215728
2564,55,,,,215729
2565,47,,,,215735
2566,17,105,,2,215735
2567,17,90,,1,215735
2568,47,,,,215738
2569,17,,,,215740
2570,47,,,,215740
2571,55,,,,215741
2572,47,,,,215745
2573,55,,,,215750
2574,55,,,,215751
2575,55,,,,215753
2576,47,,,,215755
2577,17,30,,4,215755
2578,47,,,,215762
2579,17,25,,4,215762
2580,17,180,,3,215762
2581,17,175,,2,215762
2582,17,170,,2,215762
2583,17,180,,3,215762
2584,17,190,,4,215762
2585,17,155,,2,215762
2586,15,162,,2,215765
2587,55,,,,215769
2588,55,,,,215772
2589,47,,,,215772
2590,17,145,,6,215772
2591,17,125,,6,215772
2592,17,174,,6,215772
2593,17,160,,6,215772
2594,55,,,,215779
2595,55,,,,215780
2596,17,265,,4,215784
2597,2,,,,215784
2598,17,182,,3,215785
2599,2,,,,215787
2600,55,,,,215792
2601,55,,,,215794
2602,47,,,,215797
2603,4,,,,215799
2604,34,,,,215804
2605,55,,,,215805
2606,55,,,,215809
2607,2,,,,215812
2608,55,,,,215813
2609,47,,,,215814
2610,17,132,,2,215814
2611,17,148,,2,215814
2612,17,153,,2,215814
2613,17,145,,2,215814
2614,2,,,,215814
2615,17,350,,2,215816
2616,47,,,,215817
2617,2,,,,215819
2618,2,,,,215819
2619,47,,,,215820
2620,34,,,,215825
2621,62,,,,215833
2622,34,,,,215835
2623,2,,,,215837
2624,32,,,,215839
2625,62,,,,215840
2626,2,,,,215843
2627,51,,,,215843
2628,34,,,,215845
2629,17,120,,6,215848
2630,17,102,,6,215848
2631,17,225,,8,215849
2632,2,,,,215853
2633,17,,,,215853
2634,17,145,,2,215853
2635,17,195,,4,215853
2636,17,225,,8,215853
2637,17,220,,8,215853
2638,17,203,,8,215853
2639,17,250,,8,215853
2640,17,165,,2,215853
2641,17,95,,2,215853
2642,17,123,,2,215853
2643,17,227,,8,215853
2644,17,90,,1,215853
2645,17,93,,1,215853
2646,17,253,,8,215853
2647,17,207,,8,215853
2648,55,,,,215854
2649,47,,,,215854
2650,47,,,,215857
2651,2,,,,215861



