
"COD_RX_X_METAMORFISMO","COD_TIPO_METAMORF","COD_GRAU_METAMORF","COD_FACIES_METAMORFISMO","COD_ROCHA"
4,1,,,4
5,1,4,,8
6,1,4,,13
7,1,,,15
8,1,4,,16
9,1,4,,17
10,1,4,,18
11,1,4,,19
12,1,4,,20
13,1,4,,21
14,1,4,,22
15,1,4,,23
16,1,4,,24
17,1,4,,25
18,1,4,,26
19,1,4,,27
20,1,4,,29
21,1,4,,30
22,1,2,,31
23,1,4,,32
24,1,4,,33
25,1,4,,34
26,1,4,,35
27,1,4,,36
28,1,4,,37
29,1,4,,38
30,1,4,,39
31,1,4,,40
32,1,4,,43
33,1,4,6,44
34,1,4,,45
35,1,4,,46
36,1,4,,47
37,1,4,,48
38,1,4,,50
39,1,4,,51
40,1,4,,52
41,1,4,,53
42,1,4,,54
43,1,4,,62
44,1,4,,64
45,1,4,,66
46,1,4,,67
47,1,4,,69
48,1,4,,71
49,1,4,,72
50,1,4,,74
51,1,4,,75
52,1,4,,76
53,1,4,,77
54,1,4,,78
55,1,4,,79
56,1,4,,80
57,1,4,,86
58,1,4,,88
59,1,4,,90
60,1,4,,92
61,1,4,,93
62,1,4,,94
63,1,4,,95
64,1,4,,97
65,1,4,,100
66,1,4,,106
67,1,4,,108
68,1,4,,110
69,1,4,,111
70,1,4,,113
71,1,4,,115
72,1,4,,117
73,1,4,,119
74,1,4,,120
75,1,4,,121
76,1,4,,122
77,1,4,,123
78,1,4,,124
79,1,4,,125
80,1,4,,126
81,1,4,,127
82,1,4,,128
83,1,4,,129
84,1,4,,131
85,1,4,,133
86,1,4,,135
87,1,4,,136
88,1,4,,137
89,1,4,,138
90,1,4,,139
91,1,4,,140
92,1,4,,141
93,1,4,,142
94,1,4,,143
95,1,4,,144
96,1,4,,145
97,1,4,,146
98,1,4,,147
99,1,4,,148
100,1,4,,149
101,1,4,,150
102,1,4,,151
103,1,4,,152
104,1,4,,154
105,1,4,,156
106,1,4,,157
107,1,4,,158
108,1,4,,159
109,1,4,,160
110,1,4,,161
111,1,4,,162
112,1,4,,163


