
ID_AMOSTRA   ID_ROCHA NUMERO_CAMPO     CLASSE_AMOSTRA                                                                                                                                                                                                                                                 
---------- ---------- ---------------- ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    105881     524881 AS-0002          Rocha                                                                                                                                                                                                                                                          
    105882     524883 AS-0004          Rocha                                                                                                                                                                                                                                                          
    105883     524886 AS-0007-A        Rocha                                                                                                                                                                                                                                                          
    105884     524887 AS-0007-B        Rocha                                                                                                                                                                                                                                                          
    105885     524887 AS-0007-C        Rocha                                                                                                                                                                                                                                                          
    105886     524889 AS-0009          Rocha                                                                                                                                                                                                                                                          
    105887     524891 AS-0011-A        Rocha                                                                                                                                                                                                                                                          
    105888     524892 AS-0011-C        Rocha                                                                                                                                                                                                                                                          
    105889     524894 AS-0013-A        Rocha                                                                                                                                                                                                                                                          
    105890     524895 AS-0013-B        Rocha                                                                                                                                                                                                                                                          
    105891     524896 AS-0014          Rocha                                                                                                                                                                                                                                                          

ID_AMOSTRA   ID_ROCHA NUMERO_CAMPO     CLASSE_AMOSTRA                                                                                                                                                                                                                                                 
---------- ---------- ---------------- ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    105892     524898 AS-0016          Rocha                                                                                                                                                                                                                                                          
    105893     524900 AS-0019-A        Rocha                                                                                                                                                                                                                                                          
    105894     524901 AS-0019-C        Rocha                                                                                                                                                                                                                                                          
    105895     524902 AS-0019-B        Rocha                                                                                                                                                                                                                                                          
    105896     524903 AS-0019-D        Rocha                                                                                                                                                                                                                                                          
    105897     524905 AS-0021          Rocha                                                                                                                                                                                                                                                          
    105898     524906 AS-0012          Rocha                                                                                                                                                                                                                                                          
    105899     524930 AS-0044-A        Rocha                                                                                                                                                                                                                                                          
    105900     524931 AS-0045          Rocha                                                                                                                                                                                                                                                          
    105901     524932 AS-0046-B        Rocha                                                                                                                                                                                                                                                          
    105902     524933 AS-0046-A        Rocha                                                                                                                                                                                                                                                          

ID_AMOSTRA   ID_ROCHA NUMERO_CAMPO     CLASSE_AMOSTRA                                                                                                                                                                                                                                                 
---------- ---------- ---------------- ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    105903     524934 AS-0047          Rocha                                                                                                                                                                                                                                                          
         4          4 2083-AP-R-0001   Rocha                                                                                                                                                                                                                                                          
         7         16 2083-AP-R-0004   Rocha                                                                                                                                                                                                                                                          
         9         18 2083-AP-R-0006   Rocha                                                                                                                                                                                                                                                          
        12         23 2083-AP-R-0011   Rocha                                                                                                                                                                                                                                                          
        16         28 2083-AP-R-0016   Rocha                                                                                                                                                                                                                                                          
        20         44 2083-AP-R-0075   Rocha                                                                                                                                                                                                                                                          
        31         76 2083-AP-R-0041   Rocha                                                                                                                                                                                                                                                          
        38         90 2083-AP-R-0098   Rocha                                                                                                                                                                                                                                                          
        39         93 2083-AP-R-0101   Rocha                                                                                                                                                                                                                                                          
        42         97 2083-AP-R-0104   Rocha                                                                                                                                                                                                                                                          

ID_AMOSTRA   ID_ROCHA NUMERO_CAMPO     CLASSE_AMOSTRA                                                                                                                                                                                                                                                 
---------- ---------- ---------------- ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        47        109 2083-AP-R-0113   Rocha                                                                                                                                                                                                                                                          
        49        132 2083-AP-R-0130   Rocha                                                                                                                                                                                                                                                          
        50        135 2083-AP-R-0133   Rocha                                                                                                                                                                                                                                                          
        51        140 2083-AP-R-0012   Rocha                                                                                                                                                                                                                                                          
        54        150 2083-AP-R-0021   Rocha                                                                                                                                                                                                                                                          
        55        152 2083-AP-R-0023   Rocha                                                                                                                                                                                                                                                          
        58        158 2083-AP-R-0029   Rocha                                                                                                                                                                                                                                                          
        65        216 2083-AP-R-0046   Rocha                                                                                                                                                                                                                                                          
        71        240 2083-AP-R-0085   Rocha                                                                                                                                                                                                                                                          
