
"ID_ESTRUTURA","ID_AFLORAMENTO","ID_ROCHA","ROCHA","CLASSE_ROCHA","ESTRUTURA","NOME_ESTRUTURA","ANGULO_NORTE","MERGULHO_CAIMENTO","SENTIDO","DESLOCAMENTO_M"
4,4,4,"Biotita gnaisse milonítico","Metamórfica","Zona de cisalhamento indiscriminado","",335,33,"NW",""
4,4,5,"Cordierita-granada-biotita leucogranito","�?gnea","Zona de cisalhamento indiscriminado","",335,33,"NW",""
5,10,13,"Biotita-granada gnaisse","Metamórfica","Foliação milonítica","",,,"",""
6,12,15,"Gnaisse milonítico","Metamórfica","Foliação milonítica","",350,20,"NW",""
7,13,16,"Gnaisse granítico","Metamórfica","Contato","",,,"",""
8,14,17,"Gnaisse milonítico","Metamórfica","Foliação milonítica","",350,10,"NW",""
9,15,18,"Gnaisse granítico","Metamórfica","Foliação","",,,"",""
10,16,19,"Gnaisse granítico","Metamórfica","Foliação","",,,"",""
11,17,20,"Gnaisse milonítico","Metamórfica","Foliação milonítica","",355,20,"NW",""
12,18,21,"Gnaisse milonítico","Metamórfica","Foliação milonítica","",225,55,"SW",""
13,19,22,"Gnaisse milonítico","Metamórfica","Foliação milonítica","",,,"",""
14,20,23,"Gnaisse milonítico","Metamórfica","Foliação milonítica","",,,"",""
15,21,24,"Gnaisse milonítico","Metamórfica","Foliação milonítica","",,,"",""
16,22,25,"Gnaisse granítico","Metamórfica","Foliação","",,,"",""
17,23,26,"Gnaisse granítico","Metamórfica","Foliação","",,,"",""
18,24,27,"Gnaisse granítico","Metamórfica","Foliação","",,,"",""
19,25,28,"Sienogranito","�?gnea","Lineação de fluxo magmático (Minerais ou enclaves)","",330,,"",""
20,26,29,"Gnaisse milonítico","Metamórfica","Foliação milonítica","",,,"",""
21,27,30,"Gnaisse granítico","Metamórfica","Foliação","",,,"",""
22,28,31,"Gnaisse granítico","Metamórfica","Foliação","",,,"",""
23,29,32,"Gnaisse granítico","Metamórfica","Foliação","",,,"",""
24,30,33,"Gnaisse milonítico","Metamórfica","Foliação","",,,"",""
25,31,34,"Gnaisse milonítico","Metamórfica","Foliação","",332,20,"NE",""
26,32,35,"Gnaisse milonítico","Metamórfica","Foliação milonítica","",330,30,"NE",""
27,33,36,"Gnaisse milonítico","Metamórfica","Foliação milonítica","",,,"",""
28,34,37,"Granito","�?gnea","Falha ou fratura","",150,90,"NE",""
29,35,38,"Gnaisse milonítico","Metamórfica","Foliação milonítica","",20,20,"NE",""
30,36,39,"Gnaisse milonítico","Metamórfica","Foliação milonítica","",,,"",""
31,36,39,"Gnaisse milonítico","Metamórfica","Falha ou fratura","",240,35,"NE",""
32,36,39,"Gnaisse milonítico","Metamórfica","Falha ou fratura","",180,,"S",""
33,37,40,"Gnaisse granítico","Metamórfica","Falha ou fratura","",,,"",""
34,44,47,"Granada granito","�?gnea","Falha ou fratura","",185,55,"SE",""
35,46,49,"Granada granito","�?gnea","Falha ou fratura","",340,45,"NW",""
36,48,51,"Biotita-granada gnaisse","Metamórfica","Lineação mineral","",295,,"",""
38,57,62,"Gnaisse milonítico","Metamórfica","Foliação milonítica","",360,20,"NE",""
38,57,63,"Cordierita-granada-biotita leucogranito","�?gnea","Foliação milonítica","",360,20,"NE",""
39,57,62,"Gnaisse milonítico","Metamórfica","Falha ou fratura","",,,"",""
39,57,63,"Cordierita-granada-biotita leucogranito","�?gnea","Falha ou fratura","",,,"",""
40,60,66,"Gnaisse granítico","Metamórfica","Foliação","",174,30,"NE",""
40,60,67,"Cordierita-granada-biotita leucogranito","�?gnea","Foliação","",174,30,"NE",""
42,61,68,"Granada granito","�?gnea","Zona de veios multidirecionais","",,,"",""
42,61,69,"Gnaisse granítico","Metamórfica","Zona de veios multidirecionais","",,,"",""
43,63,72,"Gnaisse granítico","Metamórfica","Foliação","",,,"",""
