
"ID_AFLORAMENTO","ID_ROCHA","ROCHA","CLASSE","INDICE_COR","GEOMETRIA","GRAU_INTEMPERISMO","GRANULACAO","COR_ROCHA_SA","COR_ROCHA_INTEMPERIZADA"
518,584,"Gnaisse enderbítico","Metamórfica","","","","","",""
519,585,"Milonito","Metamórfica","","","","","",""
520,586,"Milonito","Metamórfica","","","","","",""
521,587,"Milonito","Metamórfica","","","","","",""
522,588,"Milonito","Metamórfica","","","","","",""
523,589,"Biotita-granada gnaisse","Metamórfica","","","","","",""
524,590,"Milonito","Metamórfica","","","","","",""
525,591,"Foscorito","�?gnea","","","","","",""
526,592,"Milonito","Metamórfica","","","","","",""
527,593,"Biotita-granada gnaisse","Metamórfica","","","","","",""
527,594,"Gnaisse enderbítico","Metamórfica","","","","","",""
528,595,"Milonito","Metamórfica","","","","","",""
529,596,"Biotita-granada gnaisse","Metamórfica","","","","","",""
530,597,"Biotita-granada gnaisse","Metamórfica","","","","","",""
531,598,"Foscorito","�?gnea","","","","","",""
532,599,"Foscorito","�?gnea","","","","","",""
533,600,"Gnaisse granítico","Metamórfica","","","","","",""
534,601,"Quartzito","Metamórfica","","","","","",""
535,602,"Ortognaisse tonalítico","Metamórfica","","","","","",""
536,603,"Ortognaisse tonalítico","Metamórfica","","","","","",""
537,604,"Ortognaisse tonalítico","Metamórfica","","","","","",""
538,605,"Biotita-granada gnaisse","Metamórfica","","","","","",""
539,606,"Biotita-granada gnaisse","Metamórfica","","","","","",""
540,607,"Biotita-granada gnaisse","Metamórfica","","","","","",""
541,608,"Biotita-granada gnaisse","Metamórfica","","","","","",""
542,609,"Biotita-granada gnaisse","Metamórfica","","","","","",""
543,610,"Gnaisse enderbítico","Metamórfica","","","","","",""
544,611,"Gnaisse enderbítico","Metamórfica","","","","","",""
545,612,"Quartzito","Metamórfica","","","","","",""
546,613,"Foscorito","�?gnea","","","","","",""
547,614,"Biotita-granada gnaisse","Metamórfica","","","","","",""
548,615,"Biotita-granada gnaisse","Metamórfica","","","","","",""
549,616,"Milonito","Metamórfica","","","","","",""
550,617,"Quartzito","Metamórfica","","","","","",""
551,618,"Biotita-granada gnaisse","Metamórfica","","","","","",""
552,619,"Ortognaisse tonalítico","Metamórfica","","","","","",""
553,620,"Quartzito","Metamórfica","","","","","",""
554,621,"Biotita-granada gnaisse","Metamórfica","","","","","",""
555,622,"Biotita-granada gnaisse","Metamórfica","","","","","",""
556,623,"Quartzito","Metamórfica","","","","","",""
557,624,"Sedimento siliciclástico","Material superficial","","","","","",""
558,625,"Biotita-granada gnaisse","Metamórfica","","","","","",""
559,626,"Biotita-granada gnaisse","Metamórfica","","","","","",""
560,627,"Biotita-granada gnaisse","Metamórfica","","","","","",""
561,628,"Biotita-granada gnaisse","Metamórfica","","","","","",""
562,629,"Biotita-granada gnaisse","Metamórfica","","","","","",""
563,630,"Biotita-granada gnaisse","Metamórfica","","","","","",""
564,631,"Gnaisse enderbítico","Metamórfica","","","","","",""
565,632,"Biotita-granada gnaisse","Metamórfica","","","","","",""
566,633,"Biotita-granada gnaisse","Metamórfica","","","","","",""
567,634,"Biotita-granada gnaisse","Metamórfica","","","","","",""
568,635,"Gnaisse enderbítico","Metamórfica","","","","","",""
569,636,"Granada charnockito","�?gnea","","","","","",""
570,637,"Granada charnockito","�?gnea","","","","","",""
571,638,"Granada charnockito","�?gnea","","","","","",""
572,639,"Biotita-granada gnaisse","Metamórfica","","","","","",""
573,640,"Gnaisse enderbítico","Metamórfica","","","","","",""
574,641,"Granada charnockito","�?gnea","","","","","",""
575,642,"Granada charnockito","�?gnea","","","","","",""
576,643,"Gnaisse enderbítico","Metamórfica","","","","","",""
577,644,"Gnaisse enderbítico","Metamórfica","","","","","",""
578,645,"Gnaisse enderbítico","Metamórfica","","","","","",""
579,646,"Gnaisse enderbítico","Metamórfica","","","","","",""
580,647,"Gnaisse enderbítico","Metamórfica","","","","","",""
581,648,"Gnaisse enderbítico","Metamórfica","","","","","",""
582,649,"Biotita-granada gnaisse","Metamórfica","","","","","",""
583,650,"Gnaisse enderbítico","Metamórfica","","","","","",""
584,651,"Gnaisse enderbítico","Metamórfica","","","","","",""
585,652,"Milonito","Metamórfica","","","","","",""
586,653,"Milonito","Metamórfica","","","","","",""
587,654,"Milonito","Metamórfica","","","","","",""
588,655,"Milonito","Metamórfica","","","","","",""
589,656,"Gnaisse enderbítico","Metamórfica","","","","","",""
590,657,"Gnaisse enderbítico","Metamórfica","","","","","",""
591,658,"Gnaisse enderbítico","Metamórfica","","","","","",""
592,659,"Gnaisse enderbítico","Metamórfica","","","","","",""
593,660,"Biotita-granada gnaisse","Metamórfica","","","","","",""
594,661,"Biotita-granada gnaisse","Metamórfica","","","","","",""
595,662,"Biotita-granada gnaisse","Metamórfica","","","","","",""
596,663,"Milonito","Metamórfica","","","","","",""
597,664,"Gnaisse enderbítico","Metamórfica","","","","","",""
598,665,"Quartzito","Metamórfica","","","","","",""
599,666,"Biotita-granada gnaisse","Metamórfica","","","","","",""
600,667,"Foscorito","�?gnea","","","","","",""
601,668,"Biotita-granada gnaisse","Metamórfica","","","","","",""
602,669,"Gnaisse enderbítico","Metamórfica","","","","","",""
603,670,"Biotita-granada gnaisse","Metamórfica","","","","","",""
604,671,"Biotita-granada gnaisse","Metamórfica","","","","","",""
605,672,"Gnaisse enderbítico","Metamórfica","","","","","",""
606,673,"Biotita-granada gnaisse","Metamórfica","","","","","",""
607,674,"Biotita-granada gnaisse","Metamórfica","","","","","",""
608,675,"Quartzito","Metamórfica","","","","","",""
609,676,"Biotita-granada gnaisse","Metamórfica","","","","","",""
610,677,"Quartzito","Metamórfica","","","","","",""
611,678,"Biotita-granada gnaisse","Metamórfica","","","","","",""
612,679,"Quartzito","Metamórfica","","","","","",""
613,680,"Granada charnockito","�?gnea","","","","","",""
613,681,"Ortognaisse tonalítico","Metamórfica","","","","","",""
614,682,"Biotita-granada gnaisse","Metamórfica","","","","","",""
615,683,"Gnaisse enderbítico","Metamórfica","","","","","",""
616,684,"Biotita-granada gnaisse","Metamórfica","","","","","",""
617,685,"Gnaisse enderbítico","Metamórfica","","","","","",""
618,686,"Biotita-granada gnaisse","Metamórfica","","","","","",""
