
"ID_AFLORAM","TOPONIMIA","STATUS_X_IMPORTANCIA"
181715,"Capivara",2
181718,"Garimpo do Lagedo",7
181719,"Morro da Palmeirinha",1
181720,"Varzea Comprida",1
181733,"Garimpo da Jaqueira",7
181735,"Garimpo do Agenor",7
181736,"Serra das Figuras",2
181738,"Garimpo do Jacinto",7
181770,"Bananeiras",8
181857,"Morro Sto Antonio, Na Faz Sto Antonio",2
181858,"Morro Traira, Na Faz Sto Antonio",2
181939,"Fazenda Altamira (Itapura)",6
181940,"Garimpo Goela da Ema",7
181949,"Socotó",1
181950,"Serra das Marrecas",2
181957,"Fazenda Coqueiro",8
181958,"Fazenda Zumbi",2
181959,"Mina do Padre",7
182665,"Fazenda Carrapato",4
182668,"Mina Caém Ou Laranjal",7
182669,"Garimpo da Biquinha",7
182681,"Garimpo Maravilha",7
183461,"Tiquara/ Fazenda Baixão",6
183952,"Fazenda Riacho",8
183957,"Faleiro",4
183959,"Morro da Cascalheira",2
183963,"Fazenda Mangabeira",2
183973,"Missão do Sahi",2
183980,"Fazenda Charneca",4
183981,"Fazenda Medeiros",4
185292,"Tiquara / Fazenda Corredor",6
187579,"Fazenda Barreira",2
194199,"Mina Velha",7
194563,"Tiquara",6
194687,"Lava Pés",2
194816,"Estrada Carnaíba de Baixo",2
194817,"Tuntum",2
194823,"Gangolim (Morro Vermelho)",8

