"COD_AMOSTRA"	"COD_TIPO_AMOSTRA"	"COD_ROCHA"	"NUM_CAMPO_AMOSTRA"
105881	9	524881	"AS-0002"
105882	9	524883	"AS-0004"
105883	9	524886	"AS-0007-A"
105884	9	524887	"AS-0007-B"
105885	9	524887	"AS-0007-C"
105886	9	524889	"AS-0009"
105887	9	524891	"AS-0011-A"
105888	9	524892	"AS-0011-C"
105889	9	524894	"AS-0013-A"
105890	9	524895	"AS-0013-B"
105891	9	524896	"AS-0014"
105892	9	524898	"AS-0016"
105893	9	524900	"AS-0019-A"
105894	9	524901	"AS-0019-C"
105895	9	524902	"AS-0019-B"
105896	9	524903	"AS-0019-D"
105897	9	524905	"AS-0021"
105898	9	524906	"AS-0012"
105899	9	524930	"AS-0044-A"
105900	9	524931	"AS-0045"
105901	9	524932	"AS-0046-B"
105902	9	524933	"AS-0046-A"
105903	9	524934	"AS-0047"
4	9	4	"2083-AP-R-0001"
7	9	16	"2083-AP-R-0004"
9	9	18	"2083-AP-R-0006"
12	9	23	"2083-AP-R-0011"
16	9	28	"2083-AP-R-0016"
20	9	44	"2083-AP-R-0075"
31	9	76	"2083-AP-R-0041"
38	9	90	"2083-AP-R-0098"
39	9	93	"2083-AP-R-0101"
42	9	97	"2083-AP-R-0104"
47	9	109	"2083-AP-R-0113"
49	9	132	"2083-AP-R-0130"
50	9	135	"2083-AP-R-0133"
51	9	140	"2083-AP-R-0012"
54	9	150	"2083-AP-R-0021"
55	9	152	"2083-AP-R-0023"
58	9	158	"2083-AP-R-0029"
65	9	216	"2083-AP-R-0046"
71	9	240	"2083-AP-R-0085"
73	9	242	"2083-AP-R-0087"
79	9	250	"2083-AP-R-0095"
89	9	287	"2083-AP-R-0053"
91	9	290	"2083-AP-R-0056"
92	9	291	"2083-AP-R-0057"
93	9	293	"2083-AP-R-0059"
98	9	302	"2083-AP-R-0068"
111	9	329	"2083-AP-R-0119"
113	9	331	"2083-AP-R-0121"
115	9	333	"2083-AP-R-0123"
118	9	336	"2083-AP-R-0126"
131	9	373	"2083-AP-R-0141"
135	9	378	"2083-AP-R-0146"
139	9	384	"2083-AP-R-0152"
141	9	427	"2083-AP-R-0179"
145	9	441	"2083-AP-R-0073"
156	9	508	"2083-AP-R-0392"
160	9	516	"2083-AP-R-0451"
162	9	521	"2083-AP-R-0367"
166	9	531	"2083-AP-R-0377"
168	9	559	"2083-AP-R-0117"
173	9	564	"2083-AP-R-0003"
175	9	569	"2083-AP-R-0008"
184	9	1693	"2083-AP-R-0025"
196	9	1728	"2083-AP-R-0014"
199	9	1733	"2083-AP-R-0018"
202	9	1739	"2083-AP-R-0024"
209	9	1751	"2083-AP-R-0035"
211	9	1755	"2083-AP-R-0039"
216	9	1771	"2083-AP-R-0048"
218	9	1776	"2083-AP-R-0051"
227	9	1808	"2083-AP-R-0026"
228	9	1809	"2083-AP-R-0027"
230	9	1812	"2083-AP-R-0031"
235	9	1838	"2083-AP-R-0066"
237	9	1866	"2083-AP-R-0100"
241	9	1881	"2083-AP-R-0081"
243	9	1890	"2083-AP-R-0090"
244	9	1892	"2083-AP-R-0092"
251	9	1919	"2083-AP-R-0107"
255	9	1931	"2083-AP-R-0139"
640	9	215452	"2107-HZ-X-0145"
641	9	215456	"2101-HZ-R-0004"
645	9	215514	"2101-HZ-R-0036"
648	9	215534	"2101-HZ-R-0048"
652	9	215543	"2101-HZ-R-0052"
657	9	215597	"2101-HZ-R-0177"
661	9	215660	"2101-HZ-R-0260"
663	9	215752	"2101-HZ-R-0393"
669	9	215828	"2101-HZ-R-0337"
671	9	215854	"2101-HZ-M-0319"
675	9	215994	"2101-HZ-R-0664"
681	9	216090	"2101-HZ-R-0629"
684	9	216109	"2101-HZ-R-0770"
685	9	216112	"2101-HZ-R-0767"
686	9	216131	"2101-HZ-R-0724"
687	9	216148	"2101-HZ-R-0706"
