"OBJECTID"	"ID_AFLORAMENTO"	"ORIGEM"	"METODO_GEOPOSICIONAMENTO"	"TOPONIMIA"	"MUNICIPIO"	"UF"	"GEOLOGO"	"DATA_CADASTRO"	"TIPO_AFLORAMENTO"	"DESCRICAO"	"NUMERO_CAMPO"	"ROCHAS"	"SUREG"	"PROJETO"	"CODIGO_FOLHA"	"FOLHA"	"SHAPE"
34731795	255729	"Oracle"	"GPS Manual pré 25/05/2000"	"CÓRREGO SÃO LOURENÇO, SERRA DO BREJO, MUNICÍPIO IBITIARA"	"Ibitiara"	"BA"	"Herman Santos Chatalá Loureiro"	29/11/03	"Corte de estrada"	OBSERVA-SE A PRESENÇA DE NÍVEIS ESTREITOS DE METARGILITO.	"HL-48"	Metarenito	"OUTROS"	"Ibitiara-Rio de Contas"	"SD-23-X-B-III"	"Ouricuri do Ouro"	SDE.ST_POINT(1, 1, -42.337276351, -12.485394244, -42.337276351, -12.485394244, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@311202b0')
34731811	255712	"Oracle"	"GPS Manual pré 25/05/2000"	"BA, ENTRONCAMENTO DE IBITIARA, MUNICÍPIO DE IBITIARA"	"Ibitiara"	"BA"	"Herman Santos Chatalá Loureiro"	26/09/03	"Corte de estrada"		"HL-21"	Metarenito	"OUTROS"	"Ibitiara-Rio de Contas"	"SD-23-X-B-III"	"Ouricuri do Ouro"	SDE.ST_POINT(1, 1, -42.206245421, -12.463635303, -42.206245421, -12.463635303, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@317e9854')
34731827	255710	"Oracle"	"GPS Manual pré 25/05/2000"	"BR-242, A NE DE LAGOA DO DIONÍSIO, MUNICÍPIO DE IBITIARA"	"Ibitiara"	"BA"	"Herman Santos Chatalá Loureiro"	25/09/03	"Corte de estrada"		"HL-17"	Metagrauvaca, Metarenito	"OUTROS"	"Ibitiara-Rio de Contas"	"SD-23-X-B-III"	"Ouricuri do Ouro"	SDE.ST_POINT(1, 1, -42.15732507, -12.452998312, -42.15732507, -12.452998312, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@37a8a7b4')
34731843	255654	"Oracle"	"GPS Manual pré 25/05/2000"	"2,0 Km A SE de Tiririca de Cima, Município de Seabra"	"Ibitiara"	"BA"	"Herman Santos Chatalá Loureiro"	04/06/04	"Corte de estrada"	A MATRIZ DO METACONGLOMERADO POLIMITICO É ARENO-ARGILOSA E APRESENTA ÓXIDO DE FERRO.	"HL-163"	Metaconglomerado polimítico	"OUTROS"	"Ibitiara-Rio de Contas"	"SD-23-X-B-III"	"Ouricuri do Ouro"	SDE.ST_POINT(1, 1, -42.086708898, -12.464385459, -42.086708898, -12.464385459, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@53c95593')
34731859	255705	"Oracle"	"GPS Manual pré 25/05/2000"	"BR-242, A SUDESTE DE PAU DE FERRO, MUNICÍPIO DE IBITIARA"	"Ibitiara"	"BA"	"Herman Santos Chatalá Loureiro"	24/09/03	"Encosta de morro"		"HL-12"	Metagrauvaca, Metarenito, Metargilito	"OUTROS"	"Ibitiara-Rio de Contas"	"SD-23-X-B-III"	"Ouricuri do Ouro"	SDE.ST_POINT(1, 1, -42.290216011, -12.47251324, -42.290216011, -12.47251324, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@a324b56')
34731875	255734	"Oracle"	"GPS Manual pré 25/05/2000"	"2,0 KM A NOROESTE DE MATA, MUNICÍPIO  DE IBITIARA"	"Ibitiara"	"BA"	"Herman Santos Chatalá Loureiro"	03/12/03	"Corte de estrada"	AFLORAMENTO TÍPICO DA FORMAÇÃO LAGOA DE DENTRO FORMADO POR NIVEIS MILIMÉTRICOS A CENTIMÉTRICOS ALTERNADOS (RITMITO), OCASIONALMENTE IRREGULARES, DE METASSILTITOS E METARGILITOS COM CORES VARIADAS. O METARGILITO É FORMADO POR ARGILA, MICAS E ÓXIDOS DE FERRO.	"HL-62"	Metargilito, Metassiltito	"OUTROS"	"Ibitiara-Rio de Contas"	"SD-23-X-B-III"	"Ouricuri do Ouro"	SDE.ST_POINT(1, 1, -42.272505899, -12.480311301, -42.272505899, -12.480311301, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@6663bb62')
34731891	255707	"Oracle"	"GPS Manual pré 25/05/2000"	"BR-242, A OESTE DE LAGOA DO DIONÍSIO, MUNICÍPIO DE IBITIARA"	"Ibitiara"	"BA"	"Herman Santos Chatalá Loureiro"	25/09/03	"Encosta de morro"	METAARENITO IMPURO, BEM SELECIONADO.	"HL-14"	Metarenito	"OUTROS"	"Ibitiara-Rio de Contas"	"SD-23-X-B-III"	"Ouricuri do Ouro"	SDE.ST_POINT(1, 1, -42.241065658, -12.461698248, -42.241065658, -12.461698248, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@279eed0')
34731907	255731	"Oracle"	"GPS Manual pré 25/05/2000"	"FAZ. OLHOS D´ÁGUA NOVO, MUNICÍPIO SEABRA"	"Ibitiara"	"BA"	"Herman Santos Chatalá Loureiro"	02/12/03	"Corte de estrada"	AFLORAMENTO ESTÁ CONTIDO NUMA CRISTA ALINHADA NA DIREÇÃO NW. METARENITO COM CAMADADAS COM CERCA DE 10 CM DE LARGURA.	"HL-52"	Metarenito	"OUTROS"	"Ibitiara-Rio de Contas"	"SD-23-X-B-III"	"Ouricuri do Ouro"	SDE.ST_POINT(1, 1, -42.113014814, -12.490510557, -42.113014814, -12.490510557, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@52d82808')
34731923	255653	"Oracle"	"GPS Manual pré 25/05/2000"	"Tiririca de Cima, município de Seabra"	"Ibitiara"	"BA"	"Herman Santos Chatalá Loureiro"	04/06/04	"Corte de estrada"		"HL-162"	Metaconglomerado polimítico	"OUTROS"	"Ibitiara-Rio de Contas"	"SD-23-X-B-III"	"Ouricuri do Ouro"	SDE.ST_POINT(1, 1, -42.097804651, -12.446774356, -42.097804651, -12.446774356, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@31e44d15')
34731939	255655	"Oracle"	"GPS Manual pré 25/05/2000"	"A cerca de 5,5 Km A SE De Tiririca de Cima, Município de Seabra"	"Ibitiara"	"BA"	"Herman Santos Chatalá Loureiro"	04/06/04	"Corte de estrada"	O METARENITO APRESENTA TRAÇOS DE ÓXIDO DE FERRO E DE MINERAIS DE ARGILA.	"HL-164"	Metarenito	"OUTROS"	"Ibitiara-Rio de Contas"	"SD-23-X-B-III"	"Ouricuri do Ouro"	SDE.ST_POINT(1, 1, -42.064674457, -12.47295353, -42.064674457, -12.47295353, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@64a9ebd')
